m,d1,d2,policy,time,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,10,greedy,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10000,10,10,greedy,1.00,0.00139880,0.00003862,0.00096860,0.00003265,0.00043020,0.00001621
10000,10,10,greedy,2.00,0.00332200,0.00003317,0.00248040,0.00004601,0.00084160,0.00001571
10000,10,10,greedy,3.00,0.00529000,0.00008320,0.00405540,0.00009966,0.00123460,0.00002037
10000,10,10,greedy,4.00,0.00726060,0.00010805,0.00565200,0.00013057,0.00160860,0.00004339
10000,10,10,greedy,5.00,0.00921280,0.00012956,0.00723760,0.00014718,0.00197520,0.00006081
10000,10,10,greedy,6.00,0.01122960,0.00014647,0.00887440,0.00016984,0.00235520,0.00006105
10000,10,10,greedy,7.00,0.01316880,0.00017511,0.01041400,0.00018894,0.00275480,0.00007777
10000,10,10,greedy,8.00,0.01512720,0.00017648,0.01200340,0.00016870,0.00312380,0.00007213
10000,10,10,greedy,9.00,0.01711740,0.00018975,0.01360840,0.00018638,0.00350900,0.00007365
10000,10,10,greedy,10.00,0.01908380,0.00016695,0.01518600,0.00017771,0.00389780,0.00008247
10000,10,10,greedy,11.00,0.02106580,0.00016217,0.01679300,0.00018341,0.00427280,0.00007999
10000,10,10,greedy,12.00,0.02306680,0.00016691,0.01841360,0.00020319,0.00465320,0.00008699
10000,10,10,greedy,13.00,0.02505460,0.00019033,0.01999860,0.00020957,0.00505600,0.00008639
10000,10,10,greedy,14.00,0.02700980,0.00017124,0.02155400,0.00017941,0.00545580,0.00007982
10000,10,10,greedy,15.00,0.02898480,0.00016758,0.02316080,0.00018018,0.00582400,0.00007095
10000,10,10,greedy,16.00,0.03093700,0.00016679,0.02473100,0.00018043,0.00620600,0.00006776
10000,10,10,greedy,17.00,0.03292560,0.00016362,0.02632680,0.00016696,0.00659880,0.00004676
10000,10,10,greedy,18.00,0.03490180,0.00021645,0.02793440,0.00019805,0.00696740,0.00005922
10000,10,10,greedy,19.00,0.03689740,0.00021660,0.02953580,0.00020368,0.00736160,0.00005941
10000,10,10,greedy,20.00,0.03885320,0.00019315,0.03111900,0.00017894,0.00773420,0.00006903
10000,10,10,greedy,21.00,0.04082240,0.00022154,0.03270520,0.00021350,0.00811720,0.00007721
