m,d1,d2,policy,time,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,10,greedy,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10000,10,10,greedy,0.25,0.00036700,0.00002018,0.00021520,0.00001293,0.00015180,0.00001642
10000,10,10,greedy,0.50,0.00105820,0.00005774,0.00066340,0.00004146,0.00039480,0.00002908
10000,10,10,greedy,0.75,0.00191380,0.00007556,0.00127640,0.00005996,0.00063740,0.00003002
10000,10,10,greedy,1.00,0.00278920,0.00007298,0.00193800,0.00005205,0.00085120,0.00004227
10000,10,10,greedy,1.25,0.00369400,0.00007116,0.00263200,0.00005419,0.00106200,0.00004498
10000,10,10,greedy,1.50,0.00463860,0.00006149,0.00336900,0.00004169,0.00126960,0.00004326
10000,10,10,greedy,1.75,0.00559540,0.00007834,0.00412640,0.00006268,0.00146900,0.00004782
10000,10,10,greedy,2.00,0.00658140,0.00010318,0.00490400,0.00009217,0.00167740,0.00004831
10000,10,10,greedy,2.25,0.00756000,0.00012205,0.00568800,0.00011164,0.00187200,0.00005162
10000,10,10,greedy,2.50,0.00854480,0.00017094,0.00647600,0.00016213,0.00206880,0.00006701
10000,10,10,greedy,2.75,0.00950940,0.00016574,0.00724740,0.00015736,0.00226200,0.00006757
10000,10,10,greedy,3.00,0.01050060,0.00017697,0.00803920,0.00018722,0.00246140,0.00007017
10000,10,10,greedy,3.25,0.01149520,0.00018150,0.00883200,0.00019648,0.00266320,0.00008071
10000,10,10,greedy,3.50,0.01247020,0.00018230,0.00962520,0.00020613,0.00284500,0.00007642
10000,10,10,greedy,3.75,0.01345260,0.00019633,0.01041500,0.00023165,0.00303760,0.00009268
10000,10,10,greedy,4.00,0.01444060,0.00021519,0.01121040,0.00025238,0.00323020,0.00009430
10000,10,10,greedy,4.25,0.01542700,0.00025312,0.01200180,0.00028645,0.00342520,0.00010326
10000,10,10,greedy,4.50,0.01642200,0.00025724,0.01281400,0.00028700,0.00360800,0.00010306
10000,10,10,greedy,4.75,0.01740920,0.00024860,0.01361440,0.00027960,0.00379480,0.00011686
10000,10,10,greedy,5.00,0.01839380,0.00022925,0.01440940,0.00027040,0.00398440,0.00012292
10000,10,10,greedy,5.25,0.01939340,0.00021509,0.01521540,0.00025764,0.00417800,0.00013412
10000,10,10,greedy,5.50,0.02040580,0.00023360,0.01603620,0.00026620,0.00436960,0.00013296
10000,10,10,greedy,5.75,0.02141540,0.00023740,0.01685280,0.00027020,0.00456260,0.00013366
10000,10,10,greedy,6.00,0.02242260,0.00024675,0.01766440,0.00028622,0.00475820,0.00012131
10000,10,10,greedy,6.25,0.02338100,0.00025723,0.01843340,0.00029354,0.00494760,0.00012147
10000,10,10,greedy,6.50,0.02434320,0.00027058,0.01919280,0.00029779,0.00515040,0.00013268
10000,10,10,greedy,6.75,0.02532740,0.00028914,0.01998660,0.00028807,0.00534080,0.00014038
10000,10,10,greedy,7.00,0.02631700,0.00029284,0.02076900,0.00030469,0.00554800,0.00014533
10000,10,10,greedy,7.25,0.02730100,0.00031336,0.02155920,0.00030984,0.00574180,0.00014700
10000,10,10,greedy,7.50,0.02830780,0.00032774,0.02238260,0.00031352,0.00592520,0.00014031
10000,10,10,greedy,7.75,0.02929900,0.00032663,0.02318380,0.00029621,0.00611520,0.00014690
10000,10,10,greedy,8.00,0.03029640,0.00033162,0.02398480,0.00029670,0.00631160,0.00016033
10000,10,10,greedy,8.25,0.03128280,0.00033379,0.02478020,0.00029817,0.00650260,0.00016382
10000,10,10,greedy,8.50,0.03229520,0.00034386,0.02559860,0.00031006,0.00669660,0.00016254
10000,10,10,greedy,8.75,0.03329140,0.00036373,0.02639220,0.00033327,0.00689920,0.00017457
10000,10,10,greedy,9.00,0.03427120,0.00036472,0.02718120,0.00033567,0.00709000,0.00017545
10000,10,10,greedy,9.25,0.03525720,0.00036737,0.02797460,0.00032816,0.00728260,0.00017176
10000,10,10,greedy,9.50,0.03623860,0.00036455,0.02875700,0.00032759,0.00748160,0.00017232
10000,10,10,greedy,9.75,0.03719540,0.00038665,0.02952980,0.00034603,0.00766560,0.00017740
10000,10,10,greedy,10.00,0.03817260,0.00038065,0.03031300,0.00033936,0.00785960,0.00017447
10000,10,10,greedy,10.25,0.03916020,0.00037297,0.03110400,0.00033623,0.00805620,0.00018336
10000,10,10,greedy,10.50,0.04016020,0.00038190,0.03191420,0.00035455,0.00824600,0.00018338
10000,10,10,greedy,10.75,0.04112120,0.00036578,0.03268940,0.00034949,0.00843180,0.00019127
10000,10,10,greedy,11.00,0.04209740,0.00040248,0.03347900,0.00037038,0.00861840,0.00018907
10000,10,10,greedy,11.25,0.04311160,0.00040417,0.03429300,0.00036275,0.00881860,0.00019612
10000,10,10,greedy,11.50,0.04409740,0.00041045,0.03508780,0.00038514,0.00900960,0.00020604
10000,10,10,greedy,11.75,0.04510060,0.00045026,0.03589460,0.00041550,0.00920600,0.00021423
10000,10,10,greedy,12.00,0.04608680,0.00043392,0.03668980,0.00041716,0.00939700,0.00020746
10000,10,10,greedy,12.25,0.04705700,0.00045640,0.03746480,0.00043758,0.00959220,0.00021158
10000,10,10,greedy,12.50,0.04804420,0.00046768,0.03824760,0.00042874,0.00979660,0.00021752
10000,10,10,greedy,12.75,0.04903000,0.00046574,0.03904500,0.00042585,0.00998500,0.00021759
10000,10,10,greedy,13.00,0.05001800,0.00046001,0.03983760,0.00042806,0.01018040,0.00021150
10000,10,10,greedy,13.25,0.05098220,0.00048513,0.04061720,0.00043206,0.01036500,0.00021848
10000,10,10,greedy,13.50,0.05196440,0.00047955,0.04140020,0.00042390,0.01056420,0.00021034
10000,10,10,greedy,13.75,0.05296600,0.00047432,0.04219380,0.00042302,0.01077220,0.00021358
10000,10,10,greedy,14.00,0.05395840,0.00047532,0.04299460,0.00040837,0.01096380,0.00021966
10000,10,10,greedy,14.25,0.05494820,0.00047087,0.04378980,0.00041416,0.01115840,0.00022240
10000,10,10,greedy,14.50,0.05593380,0.00045696,0.04458660,0.00041265,0.01134720,0.00022324
10000,10,10,greedy,14.75,0.05692360,0.00046468,0.04538320,0.00041715,0.01154040,0.00022408
10000,10,10,greedy,15.00,0.05791680,0.00044177,0.04618180,0.00040628,0.01173500,0.00021902
10000,10,10,greedy,15.25,0.05888980,0.00044922,0.04696160,0.00040662,0.01192820,0.00022063
10000,10,10,greedy,15.50,0.05986300,0.00046660,0.04774680,0.00042268,0.01211620,0.00021304
10000,10,10,greedy,15.75,0.06085780,0.00047288,0.04855340,0.00041994,0.01230440,0.00022362
10000,10,10,greedy,16.00,0.06184340,0.00047761,0.04935160,0.00042824,0.01249180,0.00022603
10000,10,10,greedy,16.25,0.06282520,0.00046116,0.05013400,0.00041410,0.01269120,0.00021461
10000,10,10,greedy,16.50,0.06382300,0.00042811,0.05093800,0.00039134,0.01288500,0.00021283
10000,10,10,greedy,16.75,0.06480480,0.00040420,0.05172960,0.00036711,0.01307520,0.00021456
10000,10,10,greedy,17.00,0.06581420,0.00041949,0.05254160,0.00037335,0.01327260,0.00021591
10000,10,10,greedy,17.25,0.06681880,0.00042817,0.05334140,0.00038983,0.01347740,0.00021715
10000,10,10,greedy,17.50,0.06781120,0.00041717,0.05413620,0.00039838,0.01367500,0.00021604
10000,10,10,greedy,17.75,0.06879420,0.00043781,0.05493260,0.00042776,0.01386160,0.00022956
10000,10,10,greedy,18.00,0.06978660,0.00047832,0.05573060,0.00045437,0.01405600,0.00024687
10000,10,10,greedy,18.25,0.07076040,0.00047139,0.05650920,0.00044851,0.01425120,0.00024685
