rank,is_estimated_balance_bin,x_center,y_center,occupancy_share,time_in_bin,drift_x_estimate,drift_y_estimate,drift_norm,balance_score,distance_to_balance_bin
1,1,0.31791893,0.23194164,0.1497245564,119.7793168358,-0.0018934822,0.0010101911,0.0021461036,69.7657595425,0.0000000000
2,0,0.30749536,0.23980407,0.0957800778,76.6238522148,0.0052359675,-0.0037586207,0.0064453538,14.8603287474,0.0130563634
3,0,0.30749536,0.23194164,0.1128961684,90.3166872337,0.0092851058,0.0057619474,0.0109276360,10.3312525783,0.0104235714
4,0,0.31791893,0.23980407,0.1180452117,94.4359105921,-0.0090198738,-0.0118069492,0.0148580676,7.9448562123,0.0078624286
5,0,0.32834250,0.23194164,0.0568234983,45.4586740919,-0.0104314525,-0.0003827652,0.0104384726,5.4436601834,0.0104235714
6,0,0.31791893,0.22407921,0.0811464562,64.9169870751,0.0037155144,0.0155336846,0.0159718629,5.0805880575,0.0078624286
7,0,0.30749536,0.22407921,0.0656271950,52.5016121071,0.0117672577,0.0181594424,0.0216387084,3.0328609932,0.0130563634
8,0,0.30749536,0.24766650,0.0369633283,29.5705816011,0.0049170490,-0.0135540114,0.0144183424,2.5636322913,0.0188658945
9,0,0.32834250,0.22407921,0.0261829820,20.9463282006,-0.0095959539,0.0088416451,0.0130482573,2.0066267193,0.0130563634
10,0,0.31791893,0.24766650,0.0488642445,39.0912884858,-0.0157426379,-0.0228541968,0.0277514857,1.7607793992,0.0157248571
11,0,0.29707179,0.23980407,0.0218013816,17.4410575154,0.0148041482,-0.0008600396,0.0148291089,1.4701747487,0.0222805105
12,0,0.32834250,0.23980407,0.0398667247,31.8932923467,-0.0211580539,-0.0169816272,0.0271300370,1.4694681221,0.0130563634
13,0,0.29707179,0.23194164,0.0277807236,22.2245180107,0.0196809667,0.0100699597,0.0221075675,1.2566160228,0.0208471429
14,0,0.31791893,0.21621679,0.0157705812,12.6164303482,0.0067372464,0.0213372557,0.0223756334,0.7048104884,0.0157248571
15,0,0.29707179,0.24766650,0.0098977580,7.9181847174,0.0131090652,-0.0050516629,0.0140487327,0.7045303081,0.0261127267
