m,d1,d2,T,n_runs,E_departure_rate,policy,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,1000,100,5,1,greedy,0.21667400,0.00048773,0.21582620,0.00048583,0.00084780,0.00002966
10000,10,1000,100,5,1,patient,0.25255300,0.00069949,0.25255300,0.00069949,0.00000000,0.00000000
10000,10,1000,100,5,1,TAG,0.19073340,0.00067593,0.18940180,0.00067765,0.00133160,0.00001021
10000,10,1000,100,5,1,TAP,0.09684200,0.00041591,0.09684180,0.00041611,0.00000020,0.00000045
10000,10,1000,100,5,2,greedy,0.21755660,0.00023700,0.21591400,0.00027637,0.00164260,0.00005474
10000,10,1000,100,5,2,patient,0.31725840,0.00069395,0.31725840,0.00069395,0.00000000,0.00000000
10000,10,1000,100,5,2,TAG,0.19172280,0.00044183,0.18908740,0.00043969,0.00263540,0.00004394
10000,10,1000,100,5,2,TAP,0.13782700,0.00057827,0.13782700,0.00057827,0.00000000,0.00000000
10000,10,1000,100,5,5,greedy,0.21953580,0.00055310,0.21544340,0.00056038,0.00409240,0.00002923
10000,10,1000,100,5,5,patient,0.38203260,0.00073045,0.38203200,0.00073105,0.00000060,0.00000089
10000,10,1000,100,5,5,TAG,0.19566900,0.00065672,0.18926200,0.00061716,0.00640700,0.00007398
10000,10,1000,100,5,5,TAP,0.18339720,0.00029698,0.18339700,0.00029669,0.00000020,0.00000045
10000,10,1000,100,5,10,greedy,0.22258140,0.00068217,0.21459100,0.00064309,0.00799040,0.00008539
10000,10,1000,100,5,10,patient,0.40498420,0.00115426,0.40498400,0.00115438,0.00000020,0.00000045
10000,10,1000,100,5,10,TAG,0.20121860,0.00044605,0.18892180,0.00041528,0.01229680,0.00009945
10000,10,1000,100,5,10,TAP,0.20633020,0.00050143,0.20632940,0.00050116,0.00000080,0.00000045
10000,10,1000,100,5,20,greedy,0.22897520,0.00092482,0.21377440,0.00096722,0.01520080,0.00012835
10000,10,1000,100,5,20,patient,0.40223800,0.00074105,0.40219700,0.00073941,0.00004100,0.00000274
10000,10,1000,100,5,20,TAG,0.21228760,0.00027266,0.18968060,0.00024116,0.02260700,0.00017088
10000,10,1000,100,5,20,TAP,0.21907320,0.00022899,0.21905520,0.00023064,0.00001800,0.00000430
