m,d1,d2,T,n_runs,lambda_E,easy_entrant_share,policy,total_perish_over_mT_mean,total_perish_over_mT_std,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,1000,100,5,1,0.1,greedy,0.79524500,0.00081695,0.79513700,0.00081112,0.00010800,0.00000892
10000,10,1000,100,5,1,0.1,patient,0.81420260,0.00092978,0.81420240,0.00092983,0.00000020,0.00000045
10000,10,1000,100,5,1,0.1,TAG,0.79290480,0.00086974,0.79265520,0.00087566,0.00024960,0.00000907
10000,10,1000,100,5,1,0.1,TAP,0.79175800,0.00027570,0.79175760,0.00027579,0.00000040,0.00000089
10000,10,1000,100,5,1,0.2,greedy,0.60890500,0.00086679,0.60866660,0.00086197,0.00023840,0.00001880
10000,10,1000,100,5,1,0.2,patient,0.65381460,0.00096340,0.65381440,0.00096301,0.00000020,0.00000045
10000,10,1000,100,5,1,0.2,TAG,0.60196200,0.00085930,0.60121200,0.00085563,0.00075000,0.00000977
10000,10,1000,100,5,1,0.2,TAP,0.59558300,0.00109489,0.59558260,0.00109439,0.00000040,0.00000055
10000,10,1000,100,5,1,0.3,greedy,0.44489200,0.00076375,0.44446080,0.00078016,0.00043120,0.00002679
10000,10,1000,100,5,1,0.3,patient,0.50470360,0.00065155,0.50470360,0.00065155,0.00000000,0.00000000
10000,10,1000,100,5,1,0.3,TAG,0.42807300,0.00119360,0.42696580,0.00122193,0.00110720,0.00003521
10000,10,1000,100,5,1,0.3,TAP,0.40160960,0.00058402,0.40160960,0.00058402,0.00000000,0.00000000
10000,10,1000,100,5,1,0.4,greedy,0.31393280,0.00035043,0.31330440,0.00034123,0.00062840,0.00000974
10000,10,1000,100,5,1,0.4,patient,0.36984580,0.00087507,0.36984560,0.00087464,0.00000020,0.00000045
10000,10,1000,100,5,1,0.4,TAG,0.28991800,0.00077311,0.28865380,0.00078397,0.00126420,0.00002823
10000,10,1000,100,5,1,0.4,TAP,0.22532760,0.00079265,0.22532760,0.00079265,0.00000000,0.00000000
10000,10,1000,100,5,1,0.5,greedy,0.21717200,0.00047137,0.21632780,0.00047387,0.00084420,0.00001472
10000,10,1000,100,5,1,0.5,patient,0.25225820,0.00051359,0.25225800,0.00051400,0.00000020,0.00000045
10000,10,1000,100,5,1,0.5,TAG,0.19046780,0.00014074,0.18911840,0.00015143,0.00134940,0.00003218
10000,10,1000,100,5,1,0.5,TAP,0.09697260,0.00026205,0.09697260,0.00026205,0.00000000,0.00000000
10000,10,1000,100,5,1,0.6,greedy,0.14632200,0.00058939,0.14532420,0.00059223,0.00099780,0.00003430
10000,10,1000,100,5,1,0.6,patient,0.15702380,0.00047628,0.15702380,0.00047628,0.00000000,0.00000000
10000,10,1000,100,5,1,0.6,TAG,0.12352420,0.00027335,0.12220400,0.00028018,0.00132020,0.00003994
10000,10,1000,100,5,1,0.6,TAP,0.03976600,0.00018604,0.03976600,0.00018604,0.00000000,0.00000000
10000,10,1000,100,5,1,0.7,greedy,0.09479120,0.00020780,0.09368560,0.00022790,0.00110560,0.00002563
10000,10,1000,100,5,1,0.7,patient,0.08565740,0.00067633,0.08565740,0.00067633,0.00000000,0.00000000
10000,10,1000,100,5,1,0.7,TAG,0.07740380,0.00012096,0.07604980,0.00009813,0.00135400,0.00003247
10000,10,1000,100,5,1,0.7,TAP,0.01814080,0.00014216,0.01814080,0.00014216,0.00000000,0.00000000
10000,10,1000,100,5,1,0.8,greedy,0.05530360,0.00019940,0.05409500,0.00019262,0.00120860,0.00003399
10000,10,1000,100,5,1,0.8,patient,0.03938900,0.00030522,0.03938880,0.00030486,0.00000020,0.00000045
10000,10,1000,100,5,1,0.8,TAG,0.04448180,0.00027827,0.04311880,0.00026138,0.00136300,0.00003078
10000,10,1000,100,5,1,0.8,TAP,0.00817440,0.00013224,0.00817440,0.00013224,0.00000000,0.00000000
10000,10,1000,100,5,1,0.9,greedy,0.02528020,0.00013567,0.02400600,0.00012251,0.00127420,0.00002030
10000,10,1000,100,5,1,0.9,patient,0.01293120,0.00013321,0.01293100,0.00013349,0.00000020,0.00000045
10000,10,1000,100,5,1,0.9,TAG,0.02014600,0.00027027,0.01879300,0.00028166,0.00135300,0.00003307
10000,10,1000,100,5,1,0.9,TAP,0.00304080,0.00003549,0.00304060,0.00003530,0.00000020,0.00000045
10000,10,1000,100,5,2,0.1,greedy,0.79532520,0.00160299,0.79513040,0.00160896,0.00019480,0.00001103
10000,10,1000,100,5,2,0.1,patient,0.82421960,0.00081549,0.82421880,0.00081541,0.00000080,0.00000084
10000,10,1000,100,5,2,0.1,TAG,0.79303580,0.00103548,0.79257580,0.00104623,0.00046000,0.00002335
10000,10,1000,100,5,2,0.1,TAP,0.79170480,0.00049504,0.79170380,0.00049489,0.00000100,0.00000100
10000,10,1000,100,5,2,0.2,greedy,0.60943780,0.00087781,0.60895840,0.00087503,0.00047940,0.00001918
10000,10,1000,100,5,2,0.2,patient,0.67890360,0.00146439,0.67890280,0.00146406,0.00000080,0.00000084
10000,10,1000,100,5,2,0.2,TAG,0.60217120,0.00076757,0.60078900,0.00078000,0.00138220,0.00003848
10000,10,1000,100,5,2,0.2,TAP,0.59789820,0.00086954,0.59789720,0.00086954,0.00000100,0.00000000
10000,10,1000,100,5,2,0.3,greedy,0.44615680,0.00106080,0.44528860,0.00108457,0.00086820,0.00002519
10000,10,1000,100,5,2,0.3,patient,0.54664200,0.00064729,0.54664180,0.00064720,0.00000020,0.00000045
10000,10,1000,100,5,2,0.3,TAG,0.42993160,0.00062851,0.42778440,0.00069382,0.00214720,0.00007845
10000,10,1000,100,5,2,0.3,TAP,0.41068120,0.00121235,0.41068080,0.00121188,0.00000040,0.00000055
10000,10,1000,100,5,2,0.4,greedy,0.31420100,0.00064160,0.31294100,0.00064510,0.00126000,0.00002228
10000,10,1000,100,5,2,0.4,patient,0.42564540,0.00087270,0.42564520,0.00087298,0.00000020,0.00000045
10000,10,1000,100,5,2,0.4,TAG,0.29099060,0.00081132,0.28850200,0.00079008,0.00248860,0.00004539
10000,10,1000,100,5,2,0.4,TAP,0.24889300,0.00033648,0.24889260,0.00033696,0.00000040,0.00000055
10000,10,1000,100,5,2,0.5,greedy,0.21752580,0.00065636,0.21587320,0.00064698,0.00165260,0.00002492
10000,10,1000,100,5,2,0.5,patient,0.31782160,0.00029960,0.31782160,0.00029960,0.00000000,0.00000000
