m,d1,d2,policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
10000,10,100,greedy,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000,10,100,greedy,0.25,870.700000,25.429860,107.100000,10.681760,977.800000,28.271698
10000,10,100,greedy,0.50,1353.300000,48.178026,88.600000,10.936178,1441.900000,42.771875
10000,10,100,greedy,0.75,1629.100000,41.048616,83.300000,9.534149,1712.400000,39.539572
10000,10,100,greedy,1.00,1800.600000,40.450793,78.700000,6.667500,1879.300000,45.328554
10000,10,100,greedy,1.25,1899.700000,41.756037,77.100000,9.503800,1976.800000,38.611455
10000,10,100,greedy,1.50,1957.000000,32.369396,75.500000,7.121954,2032.500000,33.563373
10000,10,100,greedy,1.75,1997.300000,42.648564,72.900000,8.543353,2070.200000,46.295668
10000,10,100,greedy,2.00,1981.300000,53.017921,78.400000,5.947922,2059.700000,55.363546
10000,10,100,greedy,2.25,2017.700000,56.454603,73.100000,6.690790,2090.800000,55.288737
10000,10,100,greedy,2.50,2037.600000,67.110522,72.500000,7.230337,2110.100000,64.763587
10000,10,100,greedy,2.75,2059.500000,81.344603,78.300000,8.472832,2137.800000,78.554723
10000,10,100,greedy,3.00,2058.600000,60.432147,75.100000,7.852105,2133.700000,60.227439
10000,10,100,greedy,3.25,2072.000000,63.485781,70.700000,9.672986,2142.700000,59.935243
10000,10,100,greedy,3.50,2058.600000,46.116278,73.100000,10.375720,2131.700000,43.343717
10000,10,100,greedy,3.75,2054.700000,47.923666,72.900000,7.922542,2127.600000,45.127474
10000,10,100,greedy,4.00,2059.700000,25.961724,76.500000,6.932211,2136.200000,25.187298
10000,10,100,greedy,4.25,2065.000000,46.221688,70.400000,6.535374,2135.400000,48.288945
10000,10,100,greedy,4.50,2066.600000,74.686307,74.000000,8.232726,2140.600000,72.778507
10000,10,100,greedy,4.75,2044.000000,74.307170,71.600000,10.243697,2115.600000,72.677675
10000,10,100,greedy,5.00,2029.800000,46.751827,70.600000,5.521674,2100.400000,43.965138
10000,10,100,greedy,5.25,2038.500000,50.947140,69.400000,8.694826,2107.900000,47.113221
10000,10,100,greedy,5.50,2055.700000,40.873925,76.300000,10.488618,2132.000000,37.629775
10000,10,100,greedy,5.75,2059.700000,34.531950,72.900000,7.062420,2132.600000,33.327333
10000,10,100,greedy,6.00,2055.600000,30.452878,78.400000,9.674709,2134.000000,32.273140
10000,10,100,greedy,6.25,2057.400000,32.204900,75.200000,7.390685,2132.600000,30.008147
10000,10,100,greedy,6.50,2056.700000,44.607050,74.700000,6.183311,2131.400000,44.377672
10000,10,100,greedy,6.75,2026.700000,44.887637,75.600000,5.929212,2102.300000,47.298226
10000,10,100,greedy,7.00,2035.300000,65.152897,71.700000,11.508934,2107.000000,66.442958
10000,10,100,greedy,7.25,2058.800000,68.096011,75.500000,7.763876,2134.300000,70.553447
10000,10,100,greedy,7.50,2053.800000,58.230958,72.500000,7.011895,2126.300000,61.057441
10000,10,100,greedy,7.75,2076.300000,64.829777,72.400000,9.240010,2148.700000,61.202850
10000,10,100,greedy,8.00,2031.800000,37.472360,76.100000,9.158481,2107.900000,37.696006
10000,10,100,greedy,8.25,2034.300000,50.900884,76.100000,6.349978,2110.400000,53.653622
10000,10,100,greedy,8.50,2055.700000,61.831402,74.600000,10.112698,2130.300000,56.721640
10000,10,100,greedy,8.75,2039.700000,42.656379,68.700000,6.272515,2108.400000,47.861374
