policy,time,H_mean,H_std,E_mean,E_std
greedy,0.0000,0.00000000,0.00000000,0.00000000,0.00000000
greedy,0.5000,143.00000000,9.16515139,1.00000000,1.00000000
greedy,1.0000,183.66666667,20.00833160,0.33333333,0.57735027
greedy,1.5000,198.33333333,14.04753834,0.66666667,0.57735027
greedy,2.0000,213.00000000,14.73091986,1.00000000,1.00000000
greedy,2.5000,193.00000000,4.58257569,0.66666667,0.57735027
greedy,3.0000,211.33333333,29.02297940,0.66666667,0.57735027
greedy,3.5000,213.66666667,17.55942292,1.33333333,0.57735027
greedy,4.0000,196.66666667,14.50287328,1.33333333,1.52752523
greedy,4.5000,223.33333333,8.32666400,1.33333333,0.57735027
greedy,5.0000,227.00000000,6.92820323,0.00000000,0.00000000
greedy,5.5000,216.33333333,28.18391977,0.66666667,0.57735027
greedy,6.0000,226.00000000,22.33830790,1.33333333,1.15470054
greedy,6.5000,223.00000000,14.10673598,0.00000000,0.00000000
greedy,7.0000,199.66666667,8.96288644,1.66666667,0.57735027
greedy,7.5000,214.66666667,19.42506971,1.00000000,1.00000000
greedy,8.0000,202.00000000,5.29150262,1.00000000,0.00000000
greedy,8.5000,211.33333333,4.72581563,0.00000000,0.00000000
greedy,9.0000,204.00000000,8.88819442,0.66666667,1.15470054
greedy,9.5000,203.00000000,6.08276253,1.00000000,0.00000000
greedy,10.0000,210.33333333,3.21455025,1.00000000,1.00000000
greedy,10.5000,205.00000000,24.97999199,1.00000000,1.00000000
greedy,11.0000,205.33333333,17.00980110,0.66666667,0.57735027
greedy,11.5000,226.66666667,16.16580754,0.33333333,0.57735027
greedy,12.0000,225.33333333,9.86576572,1.33333333,0.57735027
greedy,12.5000,210.33333333,15.17673658,0.33333333,0.57735027
greedy,13.0000,232.33333333,10.01665280,1.00000000,0.00000000
greedy,13.5000,212.00000000,19.31320792,1.00000000,1.00000000
greedy,14.0000,196.00000000,6.08276253,1.00000000,1.00000000
greedy,14.5000,210.00000000,15.87450787,2.00000000,1.73205081
greedy,15.0000,208.33333333,9.45163125,0.66666667,0.57735027
greedy,15.5000,209.33333333,10.21436896,0.66666667,0.57735027
greedy,16.0000,208.00000000,10.58300524,1.66666667,1.15470054
greedy,16.5000,192.33333333,24.78574859,0.66666667,1.15470054
greedy,17.0000,205.33333333,16.25833120,1.00000000,0.00000000
greedy,17.5000,209.33333333,20.50203242,1.33333333,0.57735027
greedy,18.0000,219.33333333,12.89702808,0.00000000,0.00000000
greedy,18.5000,214.66666667,8.38649708,1.33333333,0.57735027
greedy,19.0000,206.66666667,10.01665280,0.33333333,0.57735027
greedy,19.5000,205.00000000,14.42220510,0.66666667,1.15470054
greedy,20.0000,198.33333333,13.42882472,1.00000000,0.00000000
patient,0.0000,0.00000000,0.00000000,0.00000000,0.00000000
patient,0.5000,189.33333333,7.09459888,132.66666667,8.08290377
patient,1.0000,308.33333333,16.44181661,159.00000000,0.00000000
patient,1.5000,377.66666667,29.09180870,160.66666667,12.66227994
patient,2.0000,407.66666667,10.59874206,134.33333333,11.71893055
patient,2.5000,460.00000000,24.43358345,131.00000000,11.53256259
patient,3.0000,448.33333333,11.01514109,142.33333333,18.50225212
patient,3.5000,470.33333333,6.65832812,136.66666667,7.76745347
patient,4.0000,474.66666667,19.50213664,138.66666667,13.31665624
patient,4.5000,482.66666667,6.65832812,124.33333333,6.65832812
patient,5.0000,502.00000000,14.10673598,134.33333333,3.05505046
patient,5.5000,503.00000000,17.57839583,139.00000000,13.07669683
patient,6.0000,507.66666667,14.01189970,130.66666667,7.02376917
patient,6.5000,498.33333333,1.52752523,123.66666667,13.65039682
patient,7.0000,505.00000000,17.69180601,133.00000000,8.88819442
patient,7.5000,495.00000000,16.70329309,146.00000000,17.34935157
patient,8.0000,489.33333333,7.50555350,142.66666667,5.50757055
patient,8.5000,499.33333333,6.42910051,130.00000000,10.53565375
patient,9.0000,488.33333333,14.29452109,132.66666667,21.82506205
patient,9.5000,475.33333333,53.90114408,139.00000000,14.73091986
patient,10.0000,466.33333333,31.62804663,146.33333333,4.50924975
patient,10.5000,473.66666667,31.81718613,137.00000000,6.24499800
patient,11.0000,473.66666667,38.63073043,122.00000000,3.60555128
patient,11.5000,485.66666667,35.36005279,132.66666667,15.04437880
patient,12.0000,482.00000000,23.51595203,139.33333333,2.51661148
patient,12.5000,498.66666667,18.90326251,126.33333333,19.65536398
patient,13.0000,487.33333333,41.40450861,122.66666667,7.50555350
patient,13.5000,506.00000000,32.18695388,127.66666667,8.08290377
patient,14.0000,499.33333333,13.31665624,127.33333333,6.35085296
patient,14.5000,487.33333333,15.14375559,138.00000000,15.09966887
patient,15.0000,484.33333333,38.00438571,138.00000000,4.00000000
patient,15.5000,473.00000000,23.64318084,120.66666667,25.00666578
patient,16.0000,469.33333333,10.50396750,149.66666667,7.76745347
patient,16.5000,464.33333333,8.08290377,122.33333333,15.17673658
patient,17.0000,492.33333333,27.20906712,134.00000000,14.00000000
patient,17.5000,481.33333333,31.00537588,144.00000000,17.32050808
patient,18.0000,504.00000000,16.09347694,126.00000000,17.52141547
patient,18.5000,515.66666667,11.23981020,146.66666667,3.05505046
patient,19.0000,503.33333333,6.65832812,130.66666667,3.78593890
patient,19.5000,509.00000000,9.84885780,133.00000000,8.54400375
patient,20.0000,502.00000000,4.35889894,137.66666667,5.50757055
TAG,0.0000,0.00000000,0.00000000,0.00000000,0.00000000
TAG,0.5000,133.33333333,7.37111480,1.66666667,2.08166600
TAG,1.0000,162.00000000,13.07669683,0.00000000,0.00000000
TAG,1.5000,194.66666667,3.78593890,1.66666667,0.57735027
TAG,2.0000,203.00000000,28.00000000,1.66666667,0.57735027
TAG,2.5000,189.33333333,9.71253486,1.33333333,0.57735027
TAG,3.0000,190.33333333,6.65832812,1.33333333,0.57735027
TAG,3.5000,196.66666667,6.65832812,1.33333333,0.57735027
TAG,4.0000,194.00000000,34.59768778,1.00000000,1.00000000
TAG,4.5000,195.66666667,18.55622088,1.33333333,0.57735027
TAG,5.0000,186.00000000,24.75883681,2.00000000,1.00000000
TAG,5.5000,183.00000000,21.63330765,1.00000000,0.00000000
TAG,6.0000,187.33333333,5.68624070,1.00000000,1.00000000
TAG,6.5000,178.66666667,14.57166200,1.66666667,0.57735027
TAG,7.0000,198.33333333,10.78579312,0.66666667,0.57735027
TAG,7.5000,200.66666667,9.01849951,1.66666667,0.57735027
TAG,8.0000,189.66666667,11.54700538,1.00000000,1.00000000
TAG,8.5000,182.66666667,25.65800720,1.00000000,1.00000000
TAG,9.0000,192.66666667,12.50333289,1.00000000,1.00000000
TAG,9.5000,183.33333333,5.50757055,2.66666667,0.57735027
TAG,10.0000,187.66666667,29.70409624,1.00000000,1.00000000
TAG,10.5000,192.00000000,5.29150262,1.00000000,0.00000000
TAG,11.0000,208.33333333,13.61371857,1.33333333,1.15470054
TAG,11.5000,193.66666667,10.11599394,2.33333333,0.57735027
TAG,12.0000,182.00000000,11.00000000,0.66666667,0.57735027
TAG,12.5000,181.33333333,21.03172207,1.00000000,0.00000000
TAG,13.0000,183.66666667,14.57166200,0.66666667,1.15470054
TAG,13.5000,194.33333333,26.68957349,0.33333333,0.57735027
TAG,14.0000,200.66666667,20.23198787,0.66666667,1.15470054
TAG,14.5000,196.00000000,25.23885893,1.33333333,0.57735027
TAG,15.0000,191.00000000,19.31320792,1.00000000,1.00000000
TAG,15.5000,200.00000000,16.82260384,0.66666667,0.57735027
TAG,16.0000,197.66666667,9.29157324,1.66666667,1.15470054
TAG,16.5000,203.00000000,12.76714533,0.66666667,0.57735027
TAG,17.0000,210.66666667,18.23001189,2.00000000,0.00000000
TAG,17.5000,209.00000000,16.37070554,1.66666667,0.57735027
TAG,18.0000,190.00000000,14.00000000,0.66666667,0.57735027
TAG,18.5000,198.66666667,8.50490055,1.66666667,0.57735027
TAG,19.0000,177.33333333,17.21433511,2.00000000,1.00000000
TAG,19.5000,172.33333333,16.01041328,1.00000000,1.00000000
TAG,20.0000,172.00000000,16.09347694,1.66666667,1.15470054
TAP,0.0000,0.00000000,0.00000000,0.00000000,0.00000000
TAP,0.5000,180.66666667,9.60902354,141.33333333,5.13160144
TAP,1.0000,258.33333333,11.59022577,209.66666667,13.65039682
TAP,1.5000,300.66666667,10.06644591,233.66666667,7.09459888
TAP,2.0000,313.33333333,8.14452782,255.00000000,1.00000000
TAP,2.5000,330.33333333,13.61371857,239.00000000,42.75511665
TAP,3.0000,323.66666667,22.59055850,231.33333333,54.37217426
TAP,3.5000,322.33333333,7.76745347,236.66666667,16.80277755
TAP,4.0000,322.33333333,14.50287328,228.33333333,15.17673658
TAP,4.5000,324.00000000,37.46998799,226.00000000,16.09347694
TAP,5.0000,317.33333333,9.81495458,225.33333333,7.63762616
TAP,5.5000,326.33333333,39.92910384,233.66666667,15.94783162
TAP,6.0000,331.00000000,12.52996409,226.33333333,15.27525232
TAP,6.5000,339.00000000,13.52774926,231.33333333,25.57994006
TAP,7.0000,336.00000000,24.24871131,239.33333333,31.08590249
TAP,7.5000,345.00000000,5.00000000,230.00000000,24.63736999
TAP,8.0000,343.33333333,23.71356855,243.00000000,7.81024968
TAP,8.5000,336.66666667,23.45918441,236.33333333,20.10804151
TAP,9.0000,329.00000000,3.46410162,224.66666667,20.03330560
TAP,9.5000,340.33333333,18.50225212,233.33333333,18.33939294
TAP,10.0000,336.33333333,10.50396750,237.33333333,7.50555350
TAP,10.5000,313.00000000,14.52583905,224.00000000,14.52583905
TAP,11.0000,317.66666667,27.15388247,243.66666667,16.92138686
TAP,11.5000,296.66666667,16.19670748,233.33333333,27.02468008
