lambda_E,lambda_ent,best_policy,best_objective,runner_up_gap
1,0.1,preserve_quality,0.76128750,0.01236250
1,0.2,preserve_quality,0.56410000,0.05853750
1,0.3,preserve_quality,0.38005000,0.10102500
1,0.4,preserve_quality,0.21030000,0.14012500
1,0.5,preserve_quality,0.09448750,0.14283750
1,0.6,preserve_quality,0.03977500,0.11042500
1,0.7,preserve_quality,0.01835000,0.06085000
1,0.8,preserve_quality,0.00923750,0.02697500
1,0.9,preserve_quality,0.00350000,0.00785000
2,0.1,preserve_quality,0.75696250,0.03306250
2,0.2,preserve_quality,0.57005000,0.08048750
2,0.3,preserve_quality,0.39692500,0.12730000
2,0.4,preserve_quality,0.23966250,0.16518750
2,0.5,preserve_quality,0.13508750,0.16646250
2,0.6,preserve_quality,0.07605000,0.13267500
2,0.7,preserve_quality,0.04437500,0.09032500
2,0.8,preserve_quality,0.02241250,0.05315000
2,0.9,preserve_quality,0.00977500,0.02235000
5,0.1,preserve_quality,0.75661250,0.03950000
5,0.2,preserve_quality,0.57228750,0.10276250
5,0.3,preserve_quality,0.41232500,0.15137500
5,0.4,preserve_quality,0.27355000,0.18825000
5,0.5,preserve_quality,0.17950000,0.18716250
5,0.6,preserve_quality,0.11691250,0.16123750
5,0.7,preserve_quality,0.07241250,0.12713750
5,0.8,preserve_quality,0.04205000,0.08106250
5,0.9,preserve_quality,0.01891250,0.03996250
10,0.1,preserve_quality,0.76353750,0.03953750
10,0.2,preserve_quality,0.58467500,0.09672500
10,0.3,preserve_quality,0.42093750,0.15638750
10,0.4,preserve_quality,0.29475000,0.18230000
10,0.5,preserve_quality,0.20026250,0.19095000
10,0.6,preserve_quality,0.13786250,0.16247500
10,0.7,preserve_quality,0.08991250,0.12982500
10,0.8,preserve_quality,0.05391250,0.08905000
10,0.9,preserve_quality,0.02391250,0.04491250
20,0.1,preserve_quality,0.75843750,0.03826250
20,0.2,preserve_quality,0.58585000,0.09205000
20,0.3,preserve_quality,0.43065000,0.14115000
20,0.4,preserve_quality,0.30456250,0.17383750
20,0.5,preserve_quality,0.21435000,0.17317500
20,0.6,preserve_quality,0.14847500,0.15136250
20,0.7,preserve_quality,0.10083750,0.12103750
20,0.8,preserve_quality,0.06452500,0.07877500
20,0.9,preserve_quality,0.03502500,0.03610000
40,0.1,preserve_quality,0.76453750,0.02530000
40,0.2,preserve_quality,0.58650000,0.07213750
40,0.3,preserve_quality,0.43221250,0.12370000
40,0.4,preserve_quality,0.31540000,0.13866250
40,0.5,preserve_quality,0.23048750,0.13430000
40,0.6,preserve_quality,0.16830000,0.11527500
40,0.7,preserve_quality,0.12511250,0.08301250
40,0.8,preserve_quality,0.09240000,0.04258750
40,0.9,priority_credits,0.06563750,0.00153750
100,0.1,preserve_quality,0.76692500,0.00893750
100,0.2,preserve_quality,0.58956250,0.04242500
100,0.3,preserve_quality,0.44250000,0.07276250
100,0.4,preserve_quality,0.33146250,0.08458750
100,0.5,preserve_quality,0.25918750,0.07230000
100,0.6,preserve_quality,0.21210000,0.04565000
100,0.7,preserve_quality,0.18598750,0.00560000
100,0.8,priority_credits,0.13441250,0.00057500
100,0.9,priority_credits,0.08398750,0.00295000
