m,d1,d2,T,n_runs,lambda_E,lambda_ent,policy,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
500,4,100,5,2,1,0.1,priority_credits,0.67720000,0.01640488,0.67720000,0.01640488,0.67520000,0.01583919,0.00200000,0.00056569
500,4,100,5,2,1,0.1,soft_commitment,0.66280000,0.00848528,0.66280000,0.00848528,0.66180000,0.00876812,0.00100000,0.00028284
500,4,100,5,2,1,0.1,risk_adjusted,0.70880000,0.00339411,0.70880000,0.00339411,0.70500000,0.00424264,0.00380000,0.00084853
500,4,100,5,2,1,0.1,preserve_quality,0.63540000,0.00141421,0.63540000,0.00141421,0.63300000,0.00197990,0.00240000,0.00056569
500,4,100,5,2,1,0.2,priority_credits,0.54140000,0.00593970,0.54140000,0.00593970,0.54020000,0.00707107,0.00120000,0.00113137
500,4,100,5,2,1,0.2,soft_commitment,0.54440000,0.02262742,0.54440000,0.02262742,0.54340000,0.02234457,0.00100000,0.00028284
500,4,100,5,2,1,0.2,risk_adjusted,0.64060000,0.00650538,0.64060000,0.00650538,0.63940000,0.00650538,0.00120000,0.00000000
500,4,100,5,2,1,0.2,preserve_quality,0.51180000,0.01499066,0.51180000,0.01499066,0.51060000,0.01499066,0.00120000,0.00000000
500,4,100,5,2,1,0.3,priority_credits,0.44320000,0.01697056,0.44320000,0.01697056,0.44320000,0.01697056,0.00000000,0.00000000
500,4,100,5,2,1,0.3,soft_commitment,0.43240000,0.01131371,0.43240000,0.01131371,0.43220000,0.01103087,0.00020000,0.00028284
500,4,100,5,2,1,0.3,risk_adjusted,0.55780000,0.01046518,0.55780000,0.01046518,0.55740000,0.01046518,0.00040000,0.00000000
500,4,100,5,2,1,0.3,preserve_quality,0.38920000,0.01301076,0.38920000,0.01301076,0.38860000,0.01329361,0.00060000,0.00028284
500,4,100,5,2,1,0.4,priority_credits,0.34060000,0.00367696,0.34060000,0.00367696,0.34060000,0.00367696,0.00000000,0.00000000
500,4,100,5,2,1,0.4,soft_commitment,0.35140000,0.01159655,0.35140000,0.01159655,0.35120000,0.01131371,0.00020000,0.00028284
500,4,100,5,2,1,0.4,risk_adjusted,0.47780000,0.02913280,0.47780000,0.02913280,0.47780000,0.02913280,0.00000000,0.00000000
500,4,100,5,2,1,0.4,preserve_quality,0.28520000,0.00509117,0.28520000,0.00509117,0.28480000,0.00509117,0.00040000,0.00000000
500,4,100,5,2,1,0.5,priority_credits,0.26240000,0.01697056,0.26240000,0.01697056,0.26200000,0.01697056,0.00040000,0.00000000
500,4,100,5,2,1,0.5,soft_commitment,0.25560000,0.01018234,0.25560000,0.01018234,0.25560000,0.01018234,0.00000000,0.00000000
500,4,100,5,2,1,0.5,risk_adjusted,0.39160000,0.01018234,0.39160000,0.01018234,0.39140000,0.00989949,0.00020000,0.00028284
500,4,100,5,2,1,0.5,preserve_quality,0.19580000,0.01046518,0.19580000,0.01046518,0.19560000,0.01074802,0.00020000,0.00028284
500,4,100,5,2,1,0.6,priority_credits,0.19000000,0.00226274,0.19000000,0.00226274,0.18980000,0.00197990,0.00020000,0.00028284
500,4,100,5,2,1,0.6,soft_commitment,0.20100000,0.00763675,0.20100000,0.00763675,0.20100000,0.00763675,0.00000000,0.00000000
500,4,100,5,2,1,0.6,risk_adjusted,0.32920000,0.00509117,0.32920000,0.00509117,0.32900000,0.00537401,0.00020000,0.00028284
