m,d1,d2,policy,time,total_loss_mean,total_loss_std,H_loss_mean,H_loss_std,E_loss_mean,E_loss_std
10000,10,100,greedy,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10000,10,100,greedy,0.25,0.05856000,0.00460415,0.04892000,0.00459584,0.00964000,0.00160499
10000,10,100,greedy,0.50,0.08988000,0.00366145,0.08032000,0.00279873,0.00956000,0.00134263
10000,10,100,greedy,0.75,0.11353333,0.00307808,0.10446667,0.00309280,0.00906667,0.00094071
10000,10,100,greedy,1.00,0.12968000,0.00393525,0.12087000,0.00384767,0.00881000,0.00075491
10000,10,100,greedy,1.25,0.14183200,0.00352029,0.13319200,0.00333886,0.00864000,0.00066826
10000,10,100,greedy,1.50,0.15128667,0.00297530,0.14284000,0.00293370,0.00844667,0.00042170
10000,10,100,greedy,1.75,0.15866857,0.00285575,0.15034857,0.00297673,0.00832000,0.00043950
10000,10,100,greedy,2.00,0.16496000,0.00291450,0.15686000,0.00303231,0.00810000,0.00036968
10000,10,100,greedy,2.25,0.16988444,0.00293155,0.16185778,0.00310227,0.00802667,0.00043202
10000,10,100,greedy,2.50,0.17370400,0.00286460,0.16575600,0.00301183,0.00794800,0.00047331
10000,10,100,greedy,2.75,0.17694909,0.00291108,0.16902545,0.00307343,0.00792364,0.00043246
10000,10,100,greedy,3.00,0.18024667,0.00315986,0.17241333,0.00325414,0.00783333,0.00039907
10000,10,100,greedy,3.25,0.18267385,0.00290868,0.17485231,0.00308624,0.00782154,0.00039850
10000,10,100,greedy,3.50,0.18488000,0.00273583,0.17712000,0.00296078,0.00776000,0.00046388
10000,10,100,greedy,3.75,0.18663467,0.00224531,0.17895467,0.00239676,0.00768000,0.00039091
10000,10,100,greedy,4.00,0.18836750,0.00172796,0.18070000,0.00186689,0.00766750,0.00032957
10000,10,100,greedy,4.25,0.18997412,0.00167819,0.18230588,0.00179219,0.00766824,0.00037211
10000,10,100,greedy,4.50,0.19126889,0.00180146,0.18361778,0.00191234,0.00765111,0.00038362
10000,10,100,greedy,4.75,0.19235158,0.00183854,0.18472421,0.00193944,0.00762737,0.00037973
10000,10,100,greedy,5.00,0.19357600,0.00181367,0.18593000,0.00187875,0.00764600,0.00038356
10000,10,100,greedy,5.25,0.19443048,0.00199991,0.18683810,0.00207313,0.00759238,0.00039724
10000,10,100,greedy,5.50,0.19481455,0.00180017,0.18721091,0.00192080,0.00760364,0.00041370
10000,10,100,greedy,5.75,0.19567652,0.00171028,0.18809739,0.00187905,0.00757913,0.00042202
10000,10,100,greedy,6.00,0.19644333,0.00152981,0.18887167,0.00172845,0.00757167,0.00038746
10000,10,100,greedy,6.25,0.19697760,0.00140765,0.18941440,0.00162081,0.00756320,0.00041682
10000,10,100,greedy,6.50,0.19768923,0.00129000,0.19014923,0.00146910,0.00754000,0.00036010
10000,10,100,greedy,6.75,0.19837037,0.00135814,0.19083852,0.00153551,0.00753185,0.00033209
10000,10,100,greedy,7.00,0.19877000,0.00127438,0.19125429,0.00144241,0.00751571,0.00030893
10000,10,100,greedy,7.25,0.19910759,0.00143100,0.19161517,0.00156599,0.00749241,0.00030944
10000,10,100,greedy,7.50,0.19945867,0.00167876,0.19194000,0.00184961,0.00751867,0.00030107
10000,10,100,greedy,7.75,0.19986968,0.00162402,0.19234581,0.00179440,0.00752387,0.00027943
10000,10,100,greedy,8.00,0.20043500,0.00155665,0.19292625,0.00180521,0.00750875,0.00032484
10000,10,100,greedy,8.25,0.20076606,0.00138433,0.19327758,0.00160846,0.00748848,0.00031436
10000,10,100,greedy,8.50,0.20103176,0.00128147,0.19354941,0.00149807,0.00748235,0.00033506
10000,10,100,greedy,8.75,0.20131200,0.00112006,0.19382286,0.00133185,0.00748914,0.00035615
10000,10,100,greedy,9.00,0.20162444,0.00108105,0.19412667,0.00129674,0.00749778,0.00036284
10000,10,100,greedy,9.25,0.20188757,0.00110843,0.19439459,0.00130106,0.00749297,0.00034821
10000,10,100,greedy,9.50,0.20218211,0.00125555,0.19471789,0.00144106,0.00746421,0.00035313
10000,10,100,greedy,9.75,0.20231590,0.00118808,0.19487179,0.00139896,0.00744410,0.00037322
10000,10,100,greedy,10.00,0.20268300,0.00133072,0.19524700,0.00156487,0.00743600,0.00036725
10000,10,100,greedy,10.25,0.20302146,0.00126522,0.19559220,0.00151618,0.00742927,0.00037850
10000,10,100,greedy,10.50,0.20321714,0.00119987,0.19578952,0.00142352,0.00742762,0.00036311
10000,10,100,greedy,10.75,0.20350698,0.00111420,0.19608372,0.00135508,0.00742326,0.00038781
10000,10,100,greedy,11.00,0.20367000,0.00125846,0.19624455,0.00149377,0.00742545,0.00039207
10000,10,100,greedy,11.25,0.20386222,0.00116089,0.19645333,0.00137064,0.00740889,0.00038387
10000,10,100,greedy,11.50,0.20410870,0.00105605,0.19671043,0.00123618,0.00739826,0.00037814
10000,10,100,greedy,11.75,0.20434638,0.00108103,0.19695149,0.00124877,0.00739489,0.00036941
10000,10,100,greedy,12.00,0.20447750,0.00107499,0.19708167,0.00124906,0.00739583,0.00035176
10000,10,100,greedy,12.25,0.20465551,0.00103280,0.19726122,0.00120747,0.00739429,0.00033457
10000,10,100,greedy,12.50,0.20477680,0.00107557,0.19737760,0.00122468,0.00739920,0.00033179
10000,10,100,greedy,12.75,0.20500078,0.00112505,0.19759294,0.00125629,0.00740784,0.00032188
10000,10,100,greedy,13.00,0.20524077,0.00113605,0.19782538,0.00126914,0.00741538,0.00032936
10000,10,100,greedy,13.25,0.20540075,0.00101728,0.19796981,0.00116546,0.00743094,0.00033238
10000,10,100,greedy,13.50,0.20561333,0.00099517,0.19819111,0.00116870,0.00742222,0.00033466
10000,10,100,greedy,13.75,0.20576073,0.00094626,0.19834255,0.00113145,0.00741818,0.00033593
10000,10,100,greedy,14.00,0.20587714,0.00100445,0.19845929,0.00118269,0.00741786,0.00032252
10000,10,100,greedy,14.25,0.20603439,0.00102535,0.19863719,0.00118327,0.00739719,0.00030539
10000,10,100,greedy,14.50,0.20613586,0.00111269,0.19874000,0.00129394,0.00739586,0.00031659
10000,10,100,greedy,14.75,0.20619932,0.00117366,0.19880000,0.00134093,0.00739932,0.00032257
10000,10,100,greedy,15.00,0.20640533,0.00117231,0.19898400,0.00134307,0.00742133,0.00033167
10000,10,100,greedy,15.25,0.20656459,0.00122215,0.19914492,0.00138498,0.00741967,0.00031108
10000,10,100,greedy,15.50,0.20668194,0.00122004,0.19925484,0.00138864,0.00742710,0.00032771
10000,10,100,greedy,15.75,0.20680444,0.00123108,0.19938730,0.00139855,0.00741714,0.00032814
10000,10,100,greedy,16.00,0.20697938,0.00115770,0.19956062,0.00132949,0.00741875,0.00032325
10000,10,100,greedy,16.25,0.20710031,0.00119236,0.19968185,0.00135790,0.00741846,0.00031095
10000,10,100,greedy,16.50,0.20719030,0.00111956,0.19977333,0.00127128,0.00741697,0.00030759
10000,10,100,greedy,16.75,0.20733910,0.00110881,0.19991463,0.00126320,0.00742448,0.00030901
10000,10,100,greedy,17.00,0.20744882,0.00110118,0.20003471,0.00127767,0.00741412,0.00030957
10000,10,100,greedy,17.25,0.20755768,0.00114891,0.20015246,0.00131551,0.00740522,0.00029997
10000,10,100,greedy,17.50,0.20756629,0.00114946,0.20018114,0.00131849,0.00738514,0.00029844
10000,10,100,greedy,17.75,0.20765690,0.00118696,0.20026366,0.00134611,0.00739324,0.00029391
10000,10,100,greedy,18.00,0.20772444,0.00117919,0.20033500,0.00134226,0.00738944,0.00027602
10000,10,100,greedy,18.25,0.20777205,0.00112293,0.20037479,0.00127905,0.00739726,0.00027175
10000,10,100,greedy,18.50,0.20784703,0.00112723,0.20044595,0.00127804,0.00740108,0.00027601
10000,10,100,greedy,18.75,0.20781760,0.00114575,0.20042133,0.00131680,0.00739627,0.00029180
10000,10,100,greedy,19.00,0.20793000,0.00112724,0.20053947,0.00128935,0.00739053,0.00028751
10000,10,100,greedy,19.25,0.20803948,0.00112335,0.20065039,0.00128447,0.00738909,0.00029163
10000,10,100,greedy,19.50,0.20820769,0.00111220,0.20082359,0.00127144,0.00738410,0.00029134
10000,10,100,greedy,19.75,0.20823190,0.00109589,0.20084557,0.00127205,0.00738633,0.00029790
10000,10,100,greedy,20.00,0.20825450,0.00104610,0.20086650,0.00123775,0.00738800,0.00030049
10000,10,100,greedy,20.25,0.20834420,0.00107629,0.20095062,0.00126468,0.00739358,0.00028858
10000,10,100,greedy,20.50,0.20842976,0.00110305,0.20102780,0.00128598,0.00740195,0.00029026
10000,10,100,greedy,20.75,0.20844819,0.00113680,0.20104193,0.00130273,0.00740627,0.00029120
10000,10,100,greedy,21.00,0.20854714,0.00111896,0.20115190,0.00130836,0.00739524,0.00029980
10000,10,100,greedy,21.25,0.20862918,0.00112914,0.20123624,0.00131791,0.00739294,0.00029625
10000,10,100,greedy,21.50,0.20864372,0.00117883,0.20126279,0.00137194,0.00738093,0.00029342
10000,10,100,greedy,21.75,0.20873149,0.00112553,0.20134805,0.00130558,0.00738345,0.00029433
10000,10,100,greedy,22.00,0.20876091,0.00114439,0.20137864,0.00131526,0.00738227,0.00029176
10000,10,100,greedy,22.25,0.20880854,0.00115140,0.20142562,0.00130334,0.00738292,0.00028665
10000,10,100,greedy,22.50,0.20886622,0.00114836,0.20148978,0.00130427,0.00737644,0.00028617
10000,10,100,greedy,22.75,0.20883165,0.00112643,0.20145758,0.00128463,0.00737407,0.00028287
10000,10,100,greedy,23.00,0.20883870,0.00115082,0.20146696,0.00130844,0.00737174,0.00027896
10000,10,100,greedy,23.25,0.20887656,0.00115606,0.20150495,0.00130345,0.00737161,0.00027651
10000,10,100,greedy,23.50,0.20892255,0.00115323,0.20154128,0.00129788,0.00738128,0.00027238
10000,10,100,greedy,23.75,0.20889432,0.00115475,0.20151495,0.00130405,0.00737937,0.00028177
10000,10,100,greedy,24.00,0.20896125,0.00112915,0.20158125,0.00128044,0.00738000,0.00027803
10000,10,100,greedy,24.25,0.20902392,0.00112081,0.20164536,0.00125717,0.00737856,0.00027607
10000,10,100,greedy,24.50,0.20901510,0.00112498,0.20163837,0.00124143,0.00737673,0.00026452
10000,10,100,greedy,24.75,0.20903152,0.00109006,0.20165535,0.00121691,0.00737616,0.00026449
10000,10,100,greedy,25.00,0.20898960,0.00111410,0.20162120,0.00125362,0.00736840,0.00026724
10000,10,100,greedy,25.25,0.20905505,0.00112602,0.20168990,0.00125818,0.00736515,0.00026427
10000,10,100,greedy,25.50,0.20907216,0.00110617,0.20170627,0.00122873,0.00736588,0.00025507
10000,10,100,greedy,25.75,0.20910175,0.00107959,0.20174058,0.00119459,0.00736117,0.00026332
10000,10,100,greedy,26.00,0.20912038,0.00107948,0.20175962,0.00119043,0.00736077,0.00025855
10000,10,100,greedy,26.25,0.20913867,0.00106686,0.20178514,0.00116993,0.00735352,0.00024792
10000,10,100,greedy,26.50,0.20918415,0.00108513,0.20184000,0.00118990,0.00734415,0.00025517
10000,10,100,greedy,26.75,0.20927103,0.00108481,0.20192673,0.00120296,0.00734430,0.00025452
10000,10,100,greedy,27.00,0.20927148,0.00108285,0.20193222,0.00118816,0.00733926,0.00024965
10000,10,100,greedy,27.25,0.20933468,0.00105908,0.20200771,0.00116236,0.00732697,0.00025861
10000,10,100,greedy,27.50,0.20937309,0.00106355,0.20204473,0.00117306,0.00732836,0.00025903
10000,10,100,greedy,27.75,0.20939315,0.00106669,0.20206703,0.00116962,0.00732613,0.00025568
10000,10,100,greedy,28.00,0.20944357,0.00107167,0.20211500,0.00117418,0.00732857,0.00025006
10000,10,100,greedy,28.25,0.20951681,0.00106442,0.20219044,0.00117487,0.00732637,0.00025435
10000,10,100,greedy,28.50,0.20953719,0.00103974,0.20220912,0.00115068,0.00732807,0.00025102
10000,10,100,greedy,28.75,0.20955339,0.00101254,0.20222122,0.00112790,0.00733217,0.00025648
10000,10,100,greedy,29.00,0.20957207,0.00101391,0.20224172,0.00113031,0.00733034,0.00024950
10000,10,100,greedy,29.25,0.20954906,0.00101711,0.20222735,0.00113116,0.00732171,0.00024564
10000,10,100,greedy,29.50,0.20955831,0.00102048,0.20223627,0.00114148,0.00732203,0.00024406
10000,10,100,greedy,29.75,0.20957076,0.00101142,0.20225244,0.00113853,0.00731832,0.00024779
10000,10,100,greedy,30.00,0.20960500,0.00100028,0.20229200,0.00113083,0.00731300,0.00024599
10000,10,100,greedy,30.25,0.20963008,0.00096605,0.20231537,0.00109257,0.00731471,0.00024761
10000,10,100,greedy,30.50,0.20966820,0.00092178,0.20234689,0.00106318,0.00732131,0.00025252
10000,10,100,greedy,30.75,0.20972033,0.00088392,0.20240000,0.00103177,0.00732033,0.00025942
10000,10,100,greedy,31.00,0.20969452,0.00086791,0.20238032,0.00102776,0.00731419,0.00025708
10000,10,100,greedy,31.25,0.20969216,0.00087258,0.20238624,0.00104493,0.00730592,0.00025736
10000,10,100,greedy,31.50,0.20976286,0.00088232,0.20246063,0.00106113,0.00730222,0.00026048
10000,10,100,greedy,31.75,0.20974520,0.00088372,0.20244220,0.00105868,0.00730299,0.00026203
10000,10,100,greedy,32.00,0.20977281,0.00086830,0.20246969,0.00104269,0.00730313,0.00026312
10000,10,100,greedy,32.25,0.20976093,0.00087354,0.20246481,0.00104468,0.00729612,0.00025938
10000,10,100,greedy,32.50,0.20979292,0.00085674,0.20250062,0.00102743,0.00729231,0.00026075
10000,10,100,greedy,32.75,0.20979634,0.00081537,0.20249802,0.00097715,0.00729832,0.00025623
10000,10,100,greedy,33.00,0.20982485,0.00080558,0.20252970,0.00096181,0.00729515,0.00025268
10000,10,100,greedy,33.25,0.20984782,0.00078926,0.20254947,0.00094268,0.00729835,0.00024539
10000,10,100,greedy,33.50,0.20987493,0.00076427,0.20257642,0.00091729,0.00729851,0.00024213
10000,10,100,greedy,33.75,0.20993126,0.00078524,0.20263378,0.00093298,0.00729748,0.00023508
10000,10,100,greedy,34.00,0.20997765,0.00083200,0.20268118,0.00097416,0.00729647,0.00023390
10000,10,100,greedy,34.25,0.21002365,0.00079175,0.20272496,0.00094747,0.00729869,0.00023407
10000,10,100,greedy,34.50,0.21002957,0.00079689,0.20273420,0.00095597,0.00729536,0.00023450
10000,10,100,greedy,34.75,0.21000978,0.00081053,0.20271626,0.00097186,0.00729353,0.00023194
10000,10,100,greedy,35.00,0.21004257,0.00085453,0.20274571,0.00101079,0.00729686,0.00023360
10000,10,100,greedy,35.25,0.21005730,0.00085863,0.20276170,0.00101234,0.00729560,0.00022852
10000,10,100,greedy,35.50,0.21008056,0.00086375,0.20277915,0.00101710,0.00730141,0.00022789
10000,10,100,greedy,35.75,0.21006797,0.00087030,0.20277287,0.00101833,0.00729510,0.00023059
10000,10,100,greedy,36.00,0.21004444,0.00088660,0.20275167,0.00103223,0.00729278,0.00023076
10000,10,100,greedy,36.25,0.21006538,0.00086757,0.20277297,0.00101848,0.00729241,0.00022499
10000,10,100,greedy,36.50,0.21007452,0.00088329,0.20278740,0.00104081,0.00728712,0.00022768
10000,10,100,greedy,36.75,0.21006939,0.00088543,0.20278231,0.00104098,0.00728707,0.00022345
10000,10,100,greedy,37.00,0.21011541,0.00088405,0.20282676,0.00104232,0.00728865,0.00022496
10000,10,100,greedy,37.25,0.21008671,0.00084933,0.20280027,0.00100581,0.00728644,0.00022512
10000,10,100,greedy,37.50,0.21007867,0.00086679,0.20279253,0.00101951,0.00728613,0.00022045
10000,10,100,greedy,37.75,0.21015629,0.00087924,0.20287497,0.00103584,0.00728132,0.00021977
10000,10,100,greedy,38.00,0.21016289,0.00084734,0.20288579,0.00100664,0.00727711,0.00022019
10000,10,100,greedy,38.25,0.21017176,0.00084080,0.20289438,0.00100693,0.00727739,0.00022189
10000,10,100,greedy,38.50,0.21018987,0.00084368,0.20290857,0.00100809,0.00728130,0.00022116
10000,10,100,greedy,38.75,0.21020671,0.00083492,0.20292465,0.00099228,0.00728206,0.00022249
10000,10,100,greedy,39.00,0.21022256,0.00083715,0.20294231,0.00099609,0.00728026,0.00022238
10000,10,100,greedy,39.25,0.21023694,0.00080096,0.20295822,0.00096116,0.00727873,0.00022794
10000,10,100,greedy,39.50,0.21025722,0.00081143,0.20298025,0.00096575,0.00727696,0.00022175
10000,10,100,greedy,39.75,0.21023497,0.00080697,0.20296377,0.00095657,0.00727119,0.00021805
10000,10,100,greedy,40.00,0.21025675,0.00082219,0.20298225,0.00098168,0.00727450,0.00021963
10000,10,100,greedy,40.25,0.21029292,0.00084848,0.20301093,0.00100254,0.00728199,0.00021669
10000,10,100,greedy,40.50,0.21028938,0.00083636,0.20300914,0.00099278,0.00728025,0.00021463
10000,10,100,greedy,40.75,0.21030773,0.00085515,0.20302945,0.00100700,0.00727828,0.00021209
10000,10,100,greedy,41.00,0.21032293,0.00085800,0.20304902,0.00101397,0.00727390,0.00021643
10000,10,100,greedy,41.25,0.21033358,0.00085170,0.20305503,0.00100531,0.00727855,0.00021851
10000,10,100,greedy,41.50,0.21036723,0.00083111,0.20308578,0.00098326,0.00728145,0.00021628
10000,10,100,greedy,41.75,0.21038898,0.00083117,0.20310659,0.00098969,0.00728240,0.00021687
10000,10,100,greedy,42.00,0.21042286,0.00085589,0.20314024,0.00101842,0.00728262,0.00021220
10000,10,100,greedy,42.25,0.21043787,0.00084864,0.20315716,0.00101910,0.00728071,0.00021837
10000,10,100,greedy,42.50,0.21050047,0.00086290,0.20321765,0.00103766,0.00728282,0.00021985
10000,10,100,greedy,42.75,0.21051181,0.00084633,0.20322994,0.00101933,0.00728187,0.00022233
10000,10,100,greedy,43.00,0.21051233,0.00083478,0.20323302,0.00100743,0.00727930,0.00022000
