m,d1,d2,policy,time,total_loss_mean,total_loss_std,H_loss_mean,H_loss_std,E_loss_mean,E_loss_std
10000,10,10,greedy,0.00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
10000,10,10,greedy,0.25,0.07340000,0.00403650,0.04304000,0.00258680,0.03036000,0.00328471
10000,10,10,greedy,0.50,0.10582000,0.00577385,0.06634000,0.00414627,0.03948000,0.00290777
10000,10,10,greedy,0.75,0.12758667,0.00503713,0.08509333,0.00399743,0.04249333,0.00200153
10000,10,10,greedy,1.00,0.13946000,0.00364880,0.09690000,0.00260256,0.04256000,0.00211355
10000,10,10,greedy,1.25,0.14776000,0.00284622,0.10528000,0.00216772,0.04248000,0.00179916
10000,10,10,greedy,1.50,0.15462000,0.00204976,0.11230000,0.00138964,0.04232000,0.00144215
10000,10,10,greedy,1.75,0.15986857,0.00223825,0.11789714,0.00179084,0.04197143,0.00136619
10000,10,10,greedy,2.00,0.16453500,0.00257952,0.12260000,0.00230434,0.04193500,0.00120763
10000,10,10,greedy,2.25,0.16800000,0.00271228,0.12640000,0.00248085,0.04160000,0.00114717
10000,10,10,greedy,2.50,0.17089600,0.00341870,0.12952000,0.00324255,0.04137600,0.00134014
10000,10,10,greedy,2.75,0.17289818,0.00301348,0.13177091,0.00286102,0.04112727,0.00122862
10000,10,10,greedy,3.00,0.17501000,0.00294945,0.13398667,0.00312035,0.04102333,0.00116947
10000,10,10,greedy,3.25,0.17684923,0.00279228,0.13587692,0.00302270,0.04097231,0.00124168
10000,10,10,greedy,3.50,0.17814571,0.00260425,0.13750286,0.00294470,0.04064286,0.00109173
10000,10,10,greedy,3.75,0.17936800,0.00261778,0.13886667,0.00308869,0.04050133,0.00123577
10000,10,10,greedy,4.00,0.18050750,0.00268990,0.14013000,0.00315478,0.04037750,0.00117877
10000,10,10,greedy,4.25,0.18149412,0.00297786,0.14119765,0.00336997,0.04029647,0.00121481
10000,10,10,greedy,4.50,0.18246667,0.00285826,0.14237778,0.00318885,0.04008889,0.00114506
10000,10,10,greedy,4.75,0.18325474,0.00261684,0.14330947,0.00294315,0.03994526,0.00123010
10000,10,10,greedy,5.00,0.18393800,0.00229247,0.14409400,0.00270402,0.03984400,0.00122919
10000,10,10,greedy,5.25,0.18469905,0.00204848,0.14490857,0.00245374,0.03979048,0.00127734
10000,10,10,greedy,5.50,0.18550727,0.00212363,0.14578364,0.00242000,0.03972364,0.00120875
10000,10,10,greedy,5.75,0.18622087,0.00206432,0.14654609,0.00234958,0.03967478,0.00116229
10000,10,10,greedy,6.00,0.18685500,0.00205628,0.14720333,0.00238516,0.03965167,0.00101088
10000,10,10,greedy,6.25,0.18704800,0.00205784,0.14746720,0.00234829,0.03958080,0.00097174
10000,10,10,greedy,6.50,0.18725538,0.00208140,0.14763692,0.00229066,0.03961846,0.00102065
10000,10,10,greedy,6.75,0.18761037,0.00214178,0.14804889,0.00213386,0.03956148,0.00103984
10000,10,10,greedy,7.00,0.18797857,0.00209168,0.14835000,0.00217635,0.03962857,0.00103810
10000,10,10,greedy,7.25,0.18828276,0.00216113,0.14868414,0.00213683,0.03959862,0.00101380
10000,10,10,greedy,7.50,0.18871867,0.00218492,0.14921733,0.00209014,0.03950133,0.00093543
10000,10,10,greedy,7.75,0.18902581,0.00210728,0.14957290,0.00191106,0.03945290,0.00094776
10000,10,10,greedy,8.00,0.18935250,0.00207261,0.14990500,0.00185440,0.03944750,0.00100206
10000,10,10,greedy,8.25,0.18959273,0.00202294,0.15018303,0.00180712,0.03940970,0.00099287
10000,10,10,greedy,8.50,0.18997176,0.00202271,0.15058000,0.00182391,0.03939176,0.00095611
10000,10,10,greedy,8.75,0.19023657,0.00207846,0.15081257,0.00190441,0.03942400,0.00099757
10000,10,10,greedy,9.00,0.19039556,0.00202621,0.15100667,0.00186484,0.03938889,0.00097470
10000,10,10,greedy,9.25,0.19057946,0.00198580,0.15121405,0.00177382,0.03936541,0.00092844
10000,10,10,greedy,9.50,0.19072947,0.00191867,0.15135263,0.00172414,0.03937684,0.00090696
10000,10,10,greedy,9.75,0.19074564,0.00198281,0.15143487,0.00177450,0.03931077,0.00090975
10000,10,10,greedy,10.00,0.19086300,0.00190326,0.15156500,0.00169679,0.03929800,0.00087234
10000,10,10,greedy,10.25,0.19102537,0.00181939,0.15172683,0.00164016,0.03929854,0.00089444
10000,10,10,greedy,10.50,0.19123905,0.00181856,0.15197238,0.00168834,0.03926667,0.00087326
10000,10,10,greedy,10.75,0.19126140,0.00170130,0.15204372,0.00162552,0.03921767,0.00088964
10000,10,10,greedy,11.00,0.19135182,0.00182946,0.15217727,0.00168354,0.03917455,0.00085941
10000,10,10,greedy,11.25,0.19160711,0.00179629,0.15241333,0.00161220,0.03919378,0.00087166
10000,10,10,greedy,11.50,0.19172783,0.00178458,0.15255565,0.00167452,0.03917217,0.00089581
10000,10,10,greedy,11.75,0.19191745,0.00191601,0.15274298,0.00176807,0.03917447,0.00091160
10000,10,10,greedy,12.00,0.19202833,0.00180800,0.15287417,0.00173817,0.03915417,0.00086442
10000,10,10,greedy,12.25,0.19206939,0.00186285,0.15291755,0.00178604,0.03915184,0.00086361
10000,10,10,greedy,12.50,0.19217680,0.00187072,0.15299040,0.00171495,0.03918640,0.00087009
10000,10,10,greedy,12.75,0.19227451,0.00182642,0.15311765,0.00167001,0.03915686,0.00085328
10000,10,10,greedy,13.00,0.19237692,0.00176928,0.15322154,0.00164637,0.03915538,0.00081346
10000,10,10,greedy,13.25,0.19238566,0.00183069,0.15327245,0.00163040,0.03911321,0.00082445
10000,10,10,greedy,13.50,0.19246074,0.00177610,0.15333407,0.00157000,0.03912667,0.00077903
10000,10,10,greedy,13.75,0.19260364,0.00172479,0.15343200,0.00153827,0.03917164,0.00077666
10000,10,10,greedy,14.00,0.19270857,0.00169757,0.15355214,0.00145847,0.03915643,0.00078451
10000,10,10,greedy,14.25,0.19280070,0.00165219,0.15364842,0.00145320,0.03915228,0.00078035
10000,10,10,greedy,14.50,0.19287517,0.00157572,0.15374690,0.00142293,0.03912828,0.00076978
10000,10,10,greedy,14.75,0.19296136,0.00157518,0.15384136,0.00141407,0.03912000,0.00075960
10000,10,10,greedy,15.00,0.19305600,0.00147256,0.15393933,0.00135426,0.03911667,0.00073005
10000,10,10,greedy,15.25,0.19308131,0.00147285,0.15397246,0.00133317,0.03910885,0.00072338
10000,10,10,greedy,15.50,0.19310645,0.00150515,0.15402194,0.00136347,0.03908452,0.00068721
10000,10,10,greedy,15.75,0.19319937,0.00150122,0.15413778,0.00133315,0.03906159,0.00070989
10000,10,10,greedy,16.00,0.19326062,0.00149252,0.15422375,0.00133824,0.03903687,0.00070635
10000,10,10,greedy,16.25,0.19330831,0.00141895,0.15425846,0.00127414,0.03904985,0.00066034
10000,10,10,greedy,16.50,0.19340303,0.00129729,0.15435758,0.00118588,0.03904545,0.00064494
10000,10,10,greedy,16.75,0.19344716,0.00120657,0.15441672,0.00109585,0.03903045,0.00064049
10000,10,10,greedy,17.00,0.19357118,0.00123379,0.15453412,0.00109809,0.03903706,0.00063502
10000,10,10,greedy,17.25,0.19367768,0.00124106,0.15461275,0.00112993,0.03906493,0.00062942
10000,10,10,greedy,17.50,0.19374629,0.00119192,0.15467486,0.00113823,0.03907143,0.00061726
10000,10,10,greedy,17.75,0.19378648,0.00123328,0.15473972,0.00120497,0.03904676,0.00064664
10000,10,10,greedy,18.00,0.19385167,0.00132867,0.15480722,0.00126215,0.03904444,0.00068574
10000,10,10,greedy,18.25,0.19386411,0.00129147,0.15481973,0.00122879,0.03904438,0.00067630
10000,10,10,greedy,18.50,0.19395514,0.00132091,0.15492811,0.00124404,0.03902703,0.00068187
10000,10,10,greedy,18.75,0.19405387,0.00138249,0.15504107,0.00130490,0.03901280,0.00069068
10000,10,10,greedy,19.00,0.19409000,0.00132245,0.15505842,0.00125415,0.03903158,0.00066933
10000,10,10,greedy,19.25,0.19414026,0.00125208,0.15511844,0.00119794,0.03902182,0.00067863
10000,10,10,greedy,19.50,0.19415590,0.00120808,0.15516974,0.00115623,0.03898615,0.00068284
10000,10,10,greedy,19.75,0.19417772,0.00115114,0.15520304,0.00110212,0.03897468,0.00065662
10000,10,10,greedy,20.00,0.19418400,0.00112890,0.15522900,0.00112565,0.03895500,0.00063219
10000,10,10,greedy,20.25,0.19419852,0.00111540,0.15525432,0.00114011,0.03894420,0.00060351
10000,10,10,greedy,20.50,0.19417122,0.00107389,0.15523512,0.00107705,0.03893610,0.00060661
10000,10,10,greedy,20.75,0.19420675,0.00116408,0.15527952,0.00113520,0.03892723,0.00060976
10000,10,10,greedy,21.00,0.19426667,0.00112356,0.15532095,0.00112505,0.03894571,0.00060173
10000,10,10,greedy,21.25,0.19429365,0.00105490,0.15536800,0.00110017,0.03892565,0.00059400
10000,10,10,greedy,21.50,0.19431953,0.00105341,0.15539581,0.00110934,0.03892372,0.00057405
10000,10,10,greedy,21.75,0.19434299,0.00106835,0.15542207,0.00110346,0.03892092,0.00055563
10000,10,10,greedy,22.00,0.19441818,0.00107376,0.15549000,0.00108815,0.03892818,0.00057692
10000,10,10,greedy,22.25,0.19447685,0.00105670,0.15552539,0.00107429,0.03895146,0.00058217
10000,10,10,greedy,22.50,0.19453644,0.00105863,0.15560178,0.00109850,0.03893467,0.00058280
10000,10,10,greedy,22.75,0.19460264,0.00114086,0.15568527,0.00115595,0.03891736,0.00058621
10000,10,10,greedy,23.00,0.19459391,0.00112930,0.15572478,0.00115278,0.03886913,0.00057057
10000,10,10,greedy,23.25,0.19456086,0.00113334,0.15570624,0.00117262,0.03885462,0.00056059
10000,10,10,greedy,23.50,0.19461149,0.00113917,0.15576128,0.00120127,0.03885021,0.00055936
10000,10,10,greedy,23.75,0.19464800,0.00109634,0.15579916,0.00115601,0.03884884,0.00055177
10000,10,10,greedy,24.00,0.19466792,0.00107372,0.15583042,0.00112894,0.03883750,0.00054504
10000,10,10,greedy,24.25,0.19466639,0.00107230,0.15584454,0.00110935,0.03882186,0.00055049
10000,10,10,greedy,24.50,0.19472000,0.00104702,0.15590857,0.00111767,0.03881143,0.00052493
10000,10,10,greedy,24.75,0.19479232,0.00103733,0.15598384,0.00109314,0.03880848,0.00054195
10000,10,10,greedy,25.00,0.19477880,0.00109693,0.15597280,0.00111834,0.03880600,0.00054994
10000,10,10,greedy,25.25,0.19484000,0.00109195,0.15602178,0.00112815,0.03881822,0.00054503
10000,10,10,greedy,25.50,0.19491294,0.00111869,0.15606627,0.00115222,0.03884667,0.00054519
10000,10,10,greedy,25.75,0.19492971,0.00112543,0.15608816,0.00114531,0.03884155,0.00056034
10000,10,10,greedy,26.00,0.19494000,0.00110806,0.15610500,0.00113085,0.03883500,0.00055838
10000,10,10,greedy,26.25,0.19494248,0.00113118,0.15612762,0.00114006,0.03881486,0.00057415
10000,10,10,greedy,26.50,0.19496189,0.00113960,0.15616755,0.00113736,0.03879434,0.00057482
10000,10,10,greedy,26.75,0.19497907,0.00117797,0.15620374,0.00116090,0.03877533,0.00059053
10000,10,10,greedy,27.00,0.19494444,0.00121632,0.15617778,0.00117252,0.03876667,0.00057850
10000,10,10,greedy,27.25,0.19498055,0.00125460,0.15622385,0.00120141,0.03875670,0.00057709
10000,10,10,greedy,27.50,0.19504909,0.00125454,0.15628655,0.00118654,0.03876255,0.00057563
10000,10,10,greedy,27.75,0.19506991,0.00124543,0.15630234,0.00118106,0.03876757,0.00056486
10000,10,10,greedy,28.00,0.19511571,0.00122842,0.15634500,0.00116346,0.03877071,0.00055672
10000,10,10,greedy,28.25,0.19516531,0.00126803,0.15641274,0.00117903,0.03875257,0.00053494
10000,10,10,greedy,28.50,0.19518807,0.00124596,0.15643544,0.00116704,0.03875263,0.00051158
10000,10,10,greedy,28.75,0.19517774,0.00125111,0.15644104,0.00118409,0.03873670,0.00051066
10000,10,10,greedy,29.00,0.19518517,0.00121708,0.15645828,0.00115931,0.03872690,0.00049794
10000,10,10,greedy,29.25,0.19522325,0.00120565,0.15648513,0.00114379,0.03873812,0.00050911
10000,10,10,greedy,29.50,0.19517424,0.00117279,0.15646508,0.00111947,0.03870915,0.00051096
10000,10,10,greedy,29.75,0.19522387,0.00116558,0.15654286,0.00109056,0.03868101,0.00052759
10000,10,10,greedy,30.00,0.19522867,0.00112518,0.15655000,0.00104627,0.03867867,0.00051852
10000,10,10,greedy,30.25,0.19522149,0.00114094,0.15653851,0.00105815,0.03868298,0.00051700
10000,10,10,greedy,30.50,0.19528098,0.00114869,0.15659016,0.00106780,0.03869082,0.00051747
10000,10,10,greedy,30.75,0.19527285,0.00111861,0.15658569,0.00103624,0.03868715,0.00051261
10000,10,10,greedy,31.00,0.19534323,0.00111846,0.15666419,0.00102178,0.03867903,0.00050345
10000,10,10,greedy,31.25,0.19535392,0.00109601,0.15668672,0.00100561,0.03866720,0.00049830
10000,10,10,greedy,31.50,0.19537651,0.00109443,0.15671524,0.00101085,0.03866127,0.00048858
10000,10,10,greedy,31.75,0.19538961,0.00107261,0.15673417,0.00097406,0.03865543,0.00049263
10000,10,10,greedy,32.00,0.19542844,0.00106735,0.15676031,0.00098137,0.03866812,0.00048416
10000,10,10,greedy,32.25,0.19547442,0.00107187,0.15680124,0.00097332,0.03867318,0.00049444
10000,10,10,greedy,32.50,0.19549600,0.00106010,0.15682985,0.00095914,0.03866615,0.00047385
10000,10,10,greedy,32.75,0.19555969,0.00105216,0.15688702,0.00094201,0.03867267,0.00048041
10000,10,10,greedy,33.00,0.19557212,0.00100713,0.15692273,0.00090956,0.03864939,0.00049395
10000,10,10,greedy,33.25,0.19558105,0.00096799,0.15692812,0.00087659,0.03865293,0.00049962
10000,10,10,greedy,33.50,0.19559343,0.00098198,0.15694836,0.00089268,0.03864507,0.00050948
10000,10,10,greedy,33.75,0.19559496,0.00096126,0.15697393,0.00087796,0.03862104,0.00051602
10000,10,10,greedy,34.00,0.19561765,0.00094793,0.15699941,0.00085081,0.03861824,0.00051921
10000,10,10,greedy,34.25,0.19561927,0.00096962,0.15700117,0.00084379,0.03861810,0.00052179
10000,10,10,greedy,34.50,0.19565652,0.00097050,0.15704087,0.00083501,0.03861565,0.00051408
10000,10,10,greedy,34.75,0.19565496,0.00095210,0.15705007,0.00082770,0.03860489,0.00051462
10000,10,10,greedy,35.00,0.19568743,0.00091593,0.15708171,0.00081792,0.03860571,0.00050490
10000,10,10,greedy,35.25,0.19569901,0.00095936,0.15709957,0.00085783,0.03859943,0.00050552
10000,10,10,greedy,35.50,0.19574845,0.00095220,0.15713972,0.00083234,0.03860873,0.00049955
10000,10,10,greedy,35.75,0.19578210,0.00090532,0.15716951,0.00075130,0.03861259,0.00050258
10000,10,10,greedy,36.00,0.19579028,0.00091710,0.15717028,0.00074432,0.03862000,0.00049318
10000,10,10,greedy,36.25,0.19581214,0.00091750,0.15718041,0.00074254,0.03863172,0.00048581
10000,10,10,greedy,36.50,0.19580356,0.00090969,0.15717288,0.00072360,0.03863068,0.00048347
10000,10,10,greedy,36.75,0.19583320,0.00089951,0.15719701,0.00072665,0.03863619,0.00048720
10000,10,10,greedy,37.00,0.19584649,0.00087677,0.15721622,0.00068656,0.03863027,0.00048143
10000,10,10,greedy,37.25,0.19586389,0.00086744,0.15724805,0.00067875,0.03861584,0.00047684
10000,10,10,greedy,37.50,0.19587333,0.00091212,0.15726773,0.00072356,0.03860560,0.00048268
10000,10,10,greedy,37.75,0.19589669,0.00089227,0.15728397,0.00072086,0.03861272,0.00047430
10000,10,10,greedy,38.00,0.19591763,0.00090035,0.15731079,0.00073448,0.03860684,0.00046448
10000,10,10,greedy,38.25,0.19590745,0.00094946,0.15729987,0.00077292,0.03860758,0.00047828
10000,10,10,greedy,38.50,0.19592857,0.00091993,0.15731506,0.00074163,0.03861351,0.00046900
10000,10,10,greedy,38.75,0.19593342,0.00088606,0.15731923,0.00072683,0.03861419,0.00045214
10000,10,10,greedy,39.00,0.19594385,0.00086421,0.15732923,0.00072573,0.03861462,0.00044670
10000,10,10,greedy,39.25,0.19598089,0.00087711,0.15737350,0.00072258,0.03860739,0.00044444
10000,10,10,greedy,39.50,0.19599519,0.00087157,0.15738380,0.00068909,0.03861139,0.00044376
10000,10,10,greedy,39.75,0.19603145,0.00090867,0.15742616,0.00072175,0.03860528,0.00043457
10000,10,10,greedy,40.00,0.19603425,0.00092363,0.15743275,0.00073387,0.03860150,0.00044039
10000,10,10,greedy,40.25,0.19607975,0.00088660,0.15747752,0.00068537,0.03860224,0.00043800
