policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
greedy,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
greedy,0.25,169.000000,13.540064,21.000000,5.033223,190.000000,14.422205
greedy,0.50,263.800000,25.349995,16.500000,2.798809,280.300000,24.069575
greedy,0.75,323.600000,18.880913,16.200000,4.022161,339.800000,17.743857
greedy,1.00,353.400000,30.855217,14.700000,3.164034,368.100000,29.916365
greedy,1.25,367.200000,27.575351,18.100000,3.695342,385.300000,26.280749
greedy,1.50,391.700000,26.824740,14.600000,2.366432,406.300000,28.362926
greedy,1.75,394.300000,25.927463,15.700000,3.335000,410.000000,27.137510
greedy,2.00,393.700000,19.641509,13.000000,3.231787,406.700000,20.303530
greedy,2.25,399.600000,17.513170,15.700000,2.263233,415.300000,17.764196
greedy,2.50,406.200000,19.337930,13.600000,3.169297,419.800000,19.640095
greedy,2.75,421.200000,19.211108,13.700000,3.973523,434.900000,20.360365
greedy,3.00,415.300000,20.784877,14.100000,4.458450,429.400000,20.045504
greedy,3.25,416.300000,23.079813,15.500000,3.374743,431.800000,23.078610
greedy,3.50,419.600000,30.725306,15.300000,2.668749,434.900000,30.329487
greedy,3.75,417.000000,20.049938,13.900000,3.813718,430.900000,21.152620
greedy,4.00,417.700000,17.346469,14.900000,5.704774,432.600000,15.896890
greedy,4.25,417.800000,20.767496,16.000000,4.055175,433.800000,18.760479
greedy,4.50,407.900000,19.069755,14.100000,3.900142,422.000000,19.131126
greedy,4.75,407.300000,22.544031,12.500000,3.689324,419.800000,21.632280
greedy,5.00,413.300000,24.495124,14.300000,4.110961,427.600000,23.296161
greedy,5.25,402.600000,31.419032,15.100000,4.280446,417.700000,29.280445
greedy,5.50,407.200000,25.646312,14.100000,4.483302,421.300000,23.711460
greedy,5.75,410.700000,17.094834,16.100000,3.178050,426.800000,18.329090
greedy,6.00,417.900000,19.358891,14.400000,2.590581,432.300000,20.472475
greedy,6.25,412.800000,25.463700,14.900000,3.478505,427.700000,24.913406
greedy,6.50,420.600000,19.912029,13.400000,2.988868,434.000000,20.752510
greedy,6.75,416.900000,28.876942,15.100000,2.469818,432.000000,27.145697
greedy,7.00,406.500000,13.116995,13.600000,2.065591,420.100000,13.169409
greedy,7.25,403.700000,14.126807,15.200000,3.119829,418.900000,14.835768
greedy,7.50,402.000000,19.026298,15.500000,2.549510,417.500000,19.506409
greedy,7.75,400.700000,17.531242,13.900000,4.483302,414.600000,16.647990
greedy,8.00,403.100000,21.732975,15.700000,2.907844,418.800000,23.668075
greedy,8.25,400.800000,17.523318,13.700000,3.093003,414.500000,16.215562
greedy,8.50,411.600000,23.519259,14.200000,3.119829,425.800000,21.529308
