m,horizon,n_runs,rho,lambda_ent,d1,d2,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
5000,80,12,10,0.5,2,100,0.46580354,0.00100333,0.46580354,0.00100333,0.37239042,0.00089139,0.09341312,0.00035408
5000,80,12,10,0.5,2,300,0.40725312,0.00096677,0.40725312,0.00096677,0.38302833,0.00102070,0.02422479,0.00013629
5000,80,12,10,0.5,2,1000,0.38773937,0.00075049,0.38773937,0.00075049,0.38733271,0.00077357,0.00040667,0.00003336
5000,80,12,10,0.5,2,3000,0.38722667,0.00092461,0.38722667,0.00092461,0.38722667,0.00092461,0.00000000,0.00000000
5000,80,12,10,0.5,2,10000,0.38793667,0.00137027,0.38793667,0.00137027,0.38793646,0.00137022,0.00000021,0.00000072
5000,80,12,10,0.5,5,100,0.33588021,0.00084413,0.33588021,0.00084413,0.27733125,0.00086769,0.05854896,0.00043019
5000,80,12,10,0.5,5,300,0.29930500,0.00084562,0.29930500,0.00084562,0.28952167,0.00091072,0.00978333,0.00018443
5000,80,12,10,0.5,5,1000,0.29247458,0.00101394,0.29247458,0.00101394,0.29244083,0.00101663,0.00003375,0.00000843
5000,80,12,10,0.5,5,3000,0.29221854,0.00076183,0.29221854,0.00076183,0.29221833,0.00076184,0.00000021,0.00000072
5000,80,12,10,0.5,5,10000,0.29255625,0.00091820,0.29255625,0.00091820,0.29255625,0.00091820,0.00000000,0.00000000
5000,80,12,10,0.5,10,100,0.22990521,0.00099174,0.22990521,0.00099174,0.19528875,0.00090821,0.03461646,0.00039012
5000,80,12,10,0.5,10,300,0.20840542,0.00053293,0.20840542,0.00053293,0.20457875,0.00056939,0.00382667,0.00011166
5000,80,12,10,0.5,10,1000,0.20554000,0.00114146,0.20554000,0.00114146,0.20553542,0.00114280,0.00000458,0.00000367
5000,80,12,10,0.5,10,3000,0.20547125,0.00068452,0.20547125,0.00068452,0.20547104,0.00068458,0.00000021,0.00000072
5000,80,12,10,0.5,10,10000,0.20536333,0.00060375,0.20536333,0.00060375,0.20536333,0.00060375,0.00000000,0.00000000
5000,80,12,10,0.5,20,100,0.13555708,0.00058524,0.13555708,0.00058524,0.11793083,0.00057582,0.01762625,0.00035604
5000,80,12,10,0.5,20,300,0.12433687,0.00069278,0.12433687,0.00069278,0.12301958,0.00069866,0.00131729,0.00005862
5000,80,12,10,0.5,20,1000,0.12342750,0.00075731,0.12342750,0.00075731,0.12342208,0.00075640,0.00000542,0.00000279
5000,80,12,10,0.5,20,3000,0.12325188,0.00081117,0.12325188,0.00081117,0.12325146,0.00081089,0.00000042,0.00000097
5000,80,12,10,0.5,20,10000,0.12362396,0.00051757,0.12362396,0.00051757,0.12362396,0.00051757,0.00000000,0.00000000
5000,80,12,10,0.5,40,100,0.06384479,0.00049677,0.06384479,0.00049677,0.05644875,0.00062965,0.00739604,0.00020720
5000,80,12,10,0.5,40,300,0.05876208,0.00063776,0.05876208,0.00063776,0.05836563,0.00065089,0.00039646,0.00003650
5000,80,12,10,0.5,40,1000,0.05870479,0.00061923,0.05870479,0.00061923,0.05870125,0.00061989,0.00000354,0.00000198
5000,80,12,10,0.5,40,3000,0.05862292,0.00045671,0.05862292,0.00045671,0.05862250,0.00045663,0.00000042,0.00000097
5000,80,12,10,0.5,40,10000,0.05884750,0.00063043,0.05884750,0.00063043,0.05884750,0.00063043,0.00000000,0.00000000
