m,horizon,n_runs,d1,d2,lambda_E,lambda_ent,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
5000,80,10,10,1000,1,0.05,0.88829650,0.00102447,0.88829650,0.00102447,0.88829550,0.00102442,0.00000100,0.00000175
5000,80,10,10,1000,1,0.1,0.78951450,0.00164145,0.78951450,0.00164145,0.78951400,0.00164104,0.00000050,0.00000105
5000,80,10,10,1000,1,0.15,0.69156550,0.00197243,0.69156550,0.00197243,0.69156450,0.00197233,0.00000100,0.00000129
5000,80,10,10,1000,1,0.2,0.59379175,0.00094431,0.59379175,0.00094431,0.59379125,0.00094396,0.00000050,0.00000158
5000,80,10,10,1000,1,0.25,0.49669150,0.00215245,0.49669150,0.00215245,0.49669025,0.00215232,0.00000125,0.00000177
5000,80,10,10,1000,1,0.3,0.40235375,0.00153270,0.40235375,0.00153270,0.40235350,0.00153279,0.00000025,0.00000079
5000,80,10,10,1000,1,0.35,0.30999875,0.00072141,0.30999875,0.00072141,0.30999875,0.00072141,0.00000000,0.00000000
5000,80,10,10,1000,1,0.4,0.22527675,0.00142303,0.22527675,0.00142303,0.22527650,0.00142279,0.00000025,0.00000079
5000,80,10,10,1000,1,0.45,0.15162300,0.00094546,0.15162300,0.00094546,0.15162300,0.00094546,0.00000000,0.00000000
5000,80,10,10,1000,1,0.5,0.09676300,0.00098088,0.09676300,0.00098088,0.09676275,0.00098071,0.00000025,0.00000079
5000,80,10,10,1000,1,0.55,0.06109800,0.00044854,0.06109800,0.00044854,0.06109800,0.00044854,0.00000000,0.00000000
5000,80,10,10,1000,1,0.6,0.03991575,0.00040557,0.03991575,0.00040557,0.03991575,0.00040557,0.00000000,0.00000000
5000,80,10,10,1000,1,0.65,0.02675050,0.00026837,0.02675050,0.00026837,0.02675025,0.00026853,0.00000025,0.00000079
5000,80,10,10,1000,1,0.7,0.01804025,0.00025516,0.01804025,0.00025516,0.01803975,0.00025543,0.00000050,0.00000105
5000,80,10,10,1000,1,0.75,0.01228675,0.00023290,0.01228675,0.00023290,0.01228675,0.00023290,0.00000000,0.00000000
5000,80,10,10,1000,1,0.8,0.00820825,0.00023185,0.00820825,0.00023185,0.00820800,0.00023218,0.00000025,0.00000079
5000,80,10,10,1000,1,0.85,0.00525550,0.00009344,0.00525550,0.00009344,0.00525500,0.00009362,0.00000050,0.00000105
5000,80,10,10,1000,1,0.9,0.00306450,0.00008892,0.00306450,0.00008892,0.00306450,0.00008892,0.00000000,0.00000000
5000,80,10,10,1000,1,0.95,0.00133350,0.00004909,0.00133350,0.00004909,0.00133350,0.00004909,0.00000000,0.00000000
5000,80,10,10,1000,1.5,0.05,0.88882950,0.00190452,0.88882950,0.00190452,0.88882600,0.00190404,0.00000350,0.00000337
5000,80,10,10,1000,1.5,0.1,0.78895175,0.00124827,0.78895175,0.00124827,0.78895000,0.00124945,0.00000175,0.00000206
5000,80,10,10,1000,1.5,0.15,0.69142750,0.00173488,0.69142750,0.00173488,0.69142600,0.00173527,0.00000150,0.00000211
5000,80,10,10,1000,1.5,0.2,0.59465375,0.00110295,0.59465375,0.00110295,0.59465325,0.00110373,0.00000050,0.00000105
5000,80,10,10,1000,1.5,0.25,0.49924475,0.00147619,0.49924475,0.00147619,0.49924425,0.00147594,0.00000050,0.00000105
5000,80,10,10,1000,1.5,0.3,0.40531675,0.00154438,0.40531675,0.00154438,0.40531625,0.00154454,0.00000050,0.00000105
5000,80,10,10,1000,1.5,0.35,0.31717975,0.00108891,0.31717975,0.00108891,0.31717925,0.00108942,0.00000050,0.00000105
5000,80,10,10,1000,1.5,0.4,0.23684650,0.00112237,0.23684650,0.00112237,0.23684575,0.00112243,0.00000075,0.00000121
5000,80,10,10,1000,1.5,0.45,0.17040150,0.00122736,0.17040150,0.00122736,0.17040125,0.00122776,0.00000025,0.00000079
5000,80,10,10,1000,1.5,0.5,0.12103400,0.00070044,0.12103400,0.00070044,0.12103400,0.00070044,0.00000000,0.00000000
5000,80,10,10,1000,1.5,0.55,0.08549325,0.00048433,0.08549325,0.00048433,0.08549275,0.00048412,0.00000050,0.00000105
5000,80,10,10,1000,1.5,0.6,0.06143175,0.00033447,0.06143175,0.00033447,0.06143150,0.00033470,0.00000025,0.00000079
5000,80,10,10,1000,1.5,0.65,0.04458875,0.00041993,0.04458875,0.00041993,0.04458825,0.00042040,0.00000050,0.00000105
5000,80,10,10,1000,1.5,0.7,0.03247500,0.00034699,0.03247500,0.00034699,0.03247500,0.00034699,0.00000000,0.00000000
5000,80,10,10,1000,1.5,0.75,0.02321925,0.00020372,0.02321925,0.00020372,0.02321925,0.00020372,0.00000000,0.00000000
5000,80,10,10,1000,1.5,0.8,0.01643275,0.00027860,0.01643275,0.00027860,0.01643275,0.00027860,0.00000000,0.00000000
5000,80,10,10,1000,1.5,0.85,0.01092175,0.00013363,0.01092175,0.00013363,0.01092175,0.00013363,0.00000000,0.00000000
5000,80,10,10,1000,1.5,0.9,0.00659350,0.00008834,0.00659350,0.00008834,0.00659350,0.00008834,0.00000000,0.00000000
5000,80,10,10,1000,1.5,0.95,0.00300175,0.00009600,0.00300175,0.00009600,0.00300175,0.00009600,0.00000000,0.00000000
5000,80,10,10,1000,2,0.05,0.88906700,0.00133800,0.88906700,0.00133800,0.88905750,0.00133770,0.00000950,0.00000438
5000,80,10,10,1000,2,0.1,0.78977300,0.00203318,0.78977300,0.00203318,0.78977125,0.00203391,0.00000175,0.00000206
5000,80,10,10,1000,2,0.15,0.69283325,0.00168162,0.69283325,0.00168162,0.69283050,0.00168121,0.00000275,0.00000249
5000,80,10,10,1000,2,0.2,0.59595300,0.00092343,0.59595300,0.00092343,0.59595200,0.00092408,0.00000100,0.00000175
5000,80,10,10,1000,2,0.25,0.50106675,0.00169772,0.50106675,0.00169772,0.50106600,0.00169793,0.00000075,0.00000121
5000,80,10,10,1000,2,0.3,0.40959075,0.00179065,0.40959075,0.00179065,0.40959000,0.00179084,0.00000075,0.00000121
5000,80,10,10,1000,2,0.35,0.32419925,0.00148104,0.32419925,0.00148104,0.32419875,0.00148060,0.00000050,0.00000105
5000,80,10,10,1000,2,0.4,0.24825575,0.00096468,0.24825575,0.00096468,0.24825550,0.00096448,0.00000025,0.00000079
5000,80,10,10,1000,2,0.45,0.18550325,0.00096853,0.18550325,0.00096853,0.18550275,0.00096896,0.00000050,0.00000105
5000,80,10,10,1000,2,0.5,0.13812150,0.00076408,0.13812150,0.00076408,0.13812125,0.00076422,0.00000025,0.00000079
5000,80,10,10,1000,2,0.55,0.10278725,0.00070010,0.10278725,0.00070010,0.10278700,0.00069986,0.00000025,0.00000079
5000,80,10,10,1000,2,0.6,0.07742725,0.00065434,0.07742725,0.00065434,0.07742725,0.00065434,0.00000000,0.00000000
5000,80,10,10,1000,2,0.65,0.05832225,0.00047729,0.05832225,0.00047729,0.05832225,0.00047729,0.00000000,0.00000000
5000,80,10,10,1000,2,0.7,0.04357875,0.00034022,0.04357875,0.00034022,0.04357825,0.00034049,0.00000050,0.00000105
5000,80,10,10,1000,2,0.75,0.03208050,0.00029834,0.03208050,0.00029834,0.03208050,0.00029834,0.00000000,0.00000000
5000,80,10,10,1000,2,0.8,0.02324450,0.00024092,0.02324450,0.00024092,0.02324425,0.00024139,0.00000025,0.00000079
5000,80,10,10,1000,2,0.85,0.01572450,0.00018536,0.01572450,0.00018536,0.01572400,0.00018577,0.00000050,0.00000105
5000,80,10,10,1000,2,0.9,0.00963475,0.00014965,0.00963475,0.00014965,0.00963450,0.00014977,0.00000025,0.00000079
5000,80,10,10,1000,2,0.95,0.00436825,0.00010382,0.00436825,0.00010382,0.00436800,0.00010365,0.00000025,0.00000079
5000,80,10,10,1000,3,0.05,0.88902150,0.00151477,0.88902150,0.00151477,0.88900650,0.00151658,0.00001500,0.00000707
5000,80,10,10,1000,3,0.1,0.79085450,0.00135509,0.79085450,0.00135509,0.79085000,0.00135280,0.00000450,0.00000350
5000,80,10,10,1000,3,0.15,0.69266950,0.00135303,0.69266950,0.00135303,0.69266750,0.00135342,0.00000200,0.00000230
5000,80,10,10,1000,3,0.2,0.59725550,0.00155725,0.59725550,0.00155725,0.59725425,0.00155718,0.00000125,0.00000132
5000,80,10,10,1000,3,0.25,0.50411425,0.00193932,0.50411425,0.00193932,0.50411350,0.00193970,0.00000075,0.00000121
5000,80,10,10,1000,3,0.3,0.41580850,0.00122919,0.41580850,0.00122919,0.41580800,0.00122878,0.00000050,0.00000105
5000,80,10,10,1000,3,0.35,0.33409875,0.00156951,0.33409875,0.00156951,0.33409775,0.00156975,0.00000100,0.00000175
5000,80,10,10,1000,3,0.4,0.26350050,0.00124068,0.26350050,0.00124068,0.26349975,0.00124005,0.00000075,0.00000169
5000,80,10,10,1000,3,0.45,0.20529575,0.00129809,0.20529575,0.00129809,0.20529550,0.00129820,0.00000025,0.00000079
5000,80,10,10,1000,3,0.5,0.15960000,0.00093098,0.15960000,0.00093098,0.15959900,0.00093078,0.00000100,0.00000129
5000,80,10,10,1000,3,0.55,0.12505100,0.00048628,0.12505100,0.00048628,0.12504925,0.00048558,0.00000175,0.00000206
5000,80,10,10,1000,3,0.6,0.09754150,0.00058498,0.09754150,0.00058498,0.09754050,0.00058572,0.00000100,0.00000175
5000,80,10,10,1000,3,0.65,0.07593575,0.00049982,0.07593575,0.00049982,0.07593500,0.00049979,0.00000075,0.00000121
5000,80,10,10,1000,3,0.7,0.05848100,0.00053973,0.05848100,0.00053973,0.05848050,0.00053980,0.00000050,0.00000105
5000,80,10,10,1000,3,0.75,0.04441200,0.00039648,0.04441200,0.00039648,0.04441200,0.00039648,0.00000000,0.00000000
5000,80,10,10,1000,3,0.8,0.03274425,0.00032020,0.03274425,0.00032020,0.03274400,0.00032053,0.00000025,0.00000079
5000,80,10,10,1000,3,0.85,0.02269050,0.00029903,0.02269050,0.00029903,0.02268975,0.00029886,0.00000075,0.00000121
5000,80,10,10,1000,3,0.9,0.01407300,0.00012124,0.01407300,0.00012124,0.01407300,0.00012124,0.00000000,0.00000000
5000,80,10,10,1000,3,0.95,0.00663275,0.00011691,0.00663275,0.00011691,0.00663225,0.00011714,0.00000050,0.00000105
5000,80,10,10,1000,5,0.05,0.88852375,0.00181336,0.88852375,0.00181336,0.88848950,0.00181065,0.00003425,0.00001093
5000,80,10,10,1000,5,0.1,0.79101000,0.00187708,0.79101000,0.00187708,0.79099800,0.00187965,0.00001200,0.00000725
5000,80,10,10,1000,5,0.15,0.69469525,0.00162776,0.69469525,0.00162776,0.69468725,0.00162723,0.00000800,0.00000643
5000,80,10,10,1000,5,0.2,0.60123275,0.00189779,0.60123275,0.00189779,0.60122925,0.00189802,0.00000350,0.00000337
5000,80,10,10,1000,5,0.25,0.50888125,0.00103545,0.50888125,0.00103545,0.50887625,0.00103524,0.00000500,0.00000354
5000,80,10,10,1000,5,0.3,0.42426050,0.00143831,0.42426050,0.00143831,0.42425925,0.00143844,0.00000125,0.00000132
5000,80,10,10,1000,5,0.35,0.34739200,0.00090173,0.34739200,0.00090173,0.34739075,0.00090125,0.00000125,0.00000177
5000,80,10,10,1000,5,0.4,0.28155075,0.00064232,0.28155075,0.00064232,0.28155000,0.00064196,0.00000075,0.00000121
5000,80,10,10,1000,5,0.45,0.22734050,0.00084484,0.22734050,0.00084484,0.22733800,0.00084387,0.00000250,0.00000236
5000,80,10,10,1000,5,0.5,0.18300250,0.00066494,0.18300250,0.00066494,0.18300175,0.00066431,0.00000075,0.00000169
5000,80,10,10,1000,5,0.55,0.14789300,0.00076755,0.14789300,0.00076755,0.14789125,0.00076720,0.00000175,0.00000206
5000,80,10,10,1000,5,0.6,0.11887475,0.00064829,0.11887475,0.00064829,0.11887400,0.00064886,0.00000075,0.00000121
5000,80,10,10,1000,5,0.65,0.09520300,0.00045536,0.09520300,0.00045536,0.09520200,0.00045566,0.00000100,0.00000175
5000,80,10,10,1000,5,0.7,0.07517150,0.00053502,0.07517150,0.00053502,0.07517075,0.00053577,0.00000075,0.00000121
5000,80,10,10,1000,5,0.75,0.05803875,0.00039203,0.05803875,0.00039203,0.05803775,0.00039258,0.00000100,0.00000175
5000,80,10,10,1000,5,0.8,0.04328725,0.00058468,0.04328725,0.00058468,0.04328600,0.00058540,0.00000125,0.00000177
5000,80,10,10,1000,5,0.85,0.03051075,0.00015345,0.03051075,0.00015345,0.03051050,0.00015322,0.00000025,0.00000079
5000,80,10,10,1000,5,0.9,0.01913575,0.00028579,0.01913575,0.00028579,0.01913475,0.00028695,0.00000100,0.00000175
5000,80,10,10,1000,5,0.95,0.00894775,0.00011084,0.00894775,0.00011084,0.00894600,0.00011020,0.00000175,0.00000206
5000,80,10,10,1000,7,0.05,0.89013225,0.00142409,0.89013225,0.00142409,0.89006750,0.00142375,0.00006475,0.00001204
5000,80,10,10,1000,7,0.1,0.79194775,0.00123345,0.79194775,0.00123345,0.79191800,0.00123083,0.00002975,0.00000533
5000,80,10,10,1000,7,0.15,0.69631425,0.00213589,0.69631425,0.00213589,0.69629550,0.00213570,0.00001875,0.00000729
5000,80,10,10,1000,7,0.2,0.60167750,0.00134280,0.60167750,0.00134280,0.60166450,0.00134617,0.00001300,0.00000806
5000,80,10,10,1000,7,0.25,0.51202400,0.00110088,0.51202400,0.00110088,0.51201900,0.00110001,0.00000500,0.00000333
5000,80,10,10,1000,7,0.3,0.42916525,0.00120484,0.42916525,0.00120484,0.42915950,0.00120579,0.00000575,0.00000355
5000,80,10,10,1000,7,0.35,0.35562400,0.00164133,0.35562400,0.00164133,0.35562100,0.00164155,0.00000300,0.00000258
5000,80,10,10,1000,7,0.4,0.29201425,0.00080556,0.29201425,0.00080556,0.29201300,0.00080683,0.00000125,0.00000243
5000,80,10,10,1000,7,0.45,0.23848375,0.00071279,0.23848375,0.00071279,0.23848175,0.00071338,0.00000200,0.00000258
5000,80,10,10,1000,7,0.5,0.19590775,0.00064786,0.19590775,0.00064786,0.19590550,0.00064750,0.00000225,0.00000142
5000,80,10,10,1000,7,0.55,0.15963825,0.00066775,0.15963825,0.00066775,0.15963400,0.00066694,0.00000425,0.00000290
5000,80,10,10,1000,7,0.6,0.12979725,0.00058268,0.12979725,0.00058268,0.12979525,0.00058306,0.00000200,0.00000197
5000,80,10,10,1000,7,0.65,0.10480450,0.00062402,0.10480450,0.00062402,0.10480250,0.00062318,0.00000200,0.00000258
5000,80,10,10,1000,7,0.7,0.08366125,0.00048545,0.08366125,0.00048545,0.08365975,0.00048504,0.00000150,0.00000175
5000,80,10,10,1000,7,0.75,0.06526350,0.00030525,0.06526350,0.00030525,0.06526275,0.00030554,0.00000075,0.00000121
5000,80,10,10,1000,7,0.8,0.04901950,0.00031452,0.04901950,0.00031452,0.04901800,0.00031493,0.00000150,0.00000211
5000,80,10,10,1000,7,0.85,0.03482475,0.00033531,0.03482475,0.00033531,0.03482200,0.00033490,0.00000275,0.00000322
5000,80,10,10,1000,7,0.9,0.02189325,0.00019582,0.02189325,0.00019582,0.02188875,0.00019506,0.00000450,0.00000438
5000,80,10,10,1000,7,0.95,0.01053825,0.00016706,0.01053825,0.00016706,0.01052925,0.00016777,0.00000900,0.00000516
5000,80,10,10,1000,10,0.05,0.89041900,0.00182294,0.89041900,0.00182294,0.89030550,0.00182565,0.00011350,0.00001390
5000,80,10,10,1000,10,0.1,0.79153175,0.00125511,0.79153175,0.00125511,0.79145050,0.00125222,0.00008125,0.00001425
5000,80,10,10,1000,10,0.15,0.69713425,0.00143401,0.69713425,0.00143401,0.69708750,0.00144082,0.00004675,0.00001021
5000,80,10,10,1000,10,0.2,0.60323600,0.00175054,0.60323600,0.00175054,0.60320575,0.00174704,0.00003025,0.00001024
5000,80,10,10,1000,10,0.25,0.51574850,0.00129139,0.51574850,0.00129139,0.51573150,0.00129074,0.00001700,0.00000715
5000,80,10,10,1000,10,0.3,0.43410975,0.00139478,0.43410975,0.00139478,0.43409800,0.00139316,0.00001175,0.00000487
5000,80,10,10,1000,10,0.35,0.36258000,0.00105384,0.36258000,0.00105384,0.36256650,0.00105410,0.00001350,0.00000959
5000,80,10,10,1000,10,0.4,0.30008275,0.00119809,0.30008275,0.00119809,0.30007500,0.00120085,0.00000775,0.00000362
5000,80,10,10,1000,10,0.45,0.24808000,0.00064911,0.24808000,0.00064911,0.24807375,0.00064790,0.00000625,0.00000377
5000,80,10,10,1000,10,0.5,0.20542875,0.00038445,0.20542875,0.00038445,0.20542450,0.00038403,0.00000425,0.00000169
5000,80,10,10,1000,10,0.55,0.16955475,0.00066528,0.16955475,0.00066528,0.16954875,0.00066397,0.00000600,0.00000444
5000,80,10,10,1000,10,0.6,0.13896650,0.00057359,0.13896650,0.00057359,0.13896025,0.00057609,0.00000625,0.00000445
5000,80,10,10,1000,10,0.65,0.11328175,0.00062441,0.11328175,0.00062441,0.11327300,0.00062374,0.00000875,0.00000503
5000,80,10,10,1000,10,0.7,0.09072300,0.00037101,0.09072300,0.00037101,0.09070875,0.00037161,0.00001425,0.00000708
5000,80,10,10,1000,10,0.75,0.07128550,0.00040441,0.07128550,0.00040441,0.07126550,0.00040112,0.00002000,0.00000842
5000,80,10,10,1000,10,0.8,0.05374150,0.00036627,0.05374150,0.00036627,0.05370800,0.00036981,0.00003350,0.00000699
5000,80,10,10,1000,10,0.85,0.03816775,0.00036104,0.03816775,0.00036104,0.03810825,0.00035323,0.00005950,0.00001311
5000,80,10,10,1000,10,0.9,0.02436050,0.00035493,0.02436050,0.00035493,0.02423450,0.00034862,0.00012600,0.00001113
5000,80,10,10,1000,10,0.95,0.01172425,0.00021886,0.01172425,0.00021886,0.01149050,0.00020729,0.00023375,0.00003167
5000,80,10,10,1000,15,0.05,0.88991725,0.00189070,0.88991725,0.00189070,0.88972300,0.00188650,0.00019425,0.00002672
5000,80,10,10,1000,15,0.1,0.79270850,0.00166172,0.79270850,0.00166172,0.79249750,0.00166290,0.00021100,0.00002199
5000,80,10,10,1000,15,0.15,0.69769700,0.00118748,0.69769700,0.00118748,0.69750300,0.00118514,0.00019400,0.00002209
5000,80,10,10,1000,15,0.2,0.60588400,0.00118546,0.60588400,0.00118546,0.60574275,0.00118540,0.00014125,0.00001582
5000,80,10,10,1000,15,0.25,0.51913300,0.00118232,0.51913300,0.00118232,0.51900775,0.00117115,0.00012525,0.00001887
5000,80,10,10,1000,15,0.3,0.43899300,0.00162005,0.43899300,0.00162005,0.43888175,0.00161798,0.00011125,0.00000981
5000,80,10,10,1000,15,0.35,0.36898050,0.00126023,0.36898050,0.00126023,0.36888225,0.00126146,0.00009825,0.00001675
5000,80,10,10,1000,15,0.4,0.30817150,0.00082683,0.30817150,0.00082683,0.30807325,0.00083090,0.00009825,0.00001364
5000,80,10,10,1000,15,0.45,0.25702200,0.00118328,0.25702200,0.00118328,0.25691800,0.00117405,0.00010400,0.00001955
5000,80,10,10,1000,15,0.5,0.21425725,0.00052955,0.21425725,0.00052955,0.21414575,0.00052808,0.00011150,0.00001243
5000,80,10,10,1000,15,0.55,0.17771700,0.00092030,0.17771700,0.00092030,0.17759025,0.00091988,0.00012675,0.00001370
5000,80,10,10,1000,15,0.6,0.14715425,0.00075473,0.14715425,0.00075473,0.14698050,0.00075895,0.00017375,0.00002804
5000,80,10,10,1000,15,0.65,0.12034675,0.00072397,0.12034675,0.00072397,0.12010250,0.00073153,0.00024425,0.00002218
5000,80,10,10,1000,15,0.7,0.09707875,0.00062978,0.09707875,0.00062978,0.09674700,0.00062820,0.00033175,0.00003494
