m,horizon,n_runs,d1,d2,rho,lambda_ent,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
5000,80,12,10,1000,0.5,0.2,0.59262458,0.00156461,0.59262458,0.00156461,0.59262417,0.00156497,0.00000042,0.00000097
5000,80,12,10,1000,0.5,0.5,0.06091937,0.00097826,0.06091937,0.00097826,0.06091917,0.00097773,0.00000021,0.00000072
5000,80,12,10,1000,0.5,0.8,0.00119375,0.00004433,0.00119375,0.00004433,0.00119375,0.00004433,0.00000000,0.00000000
5000,80,12,10,1000,1,0.2,0.59359771,0.00151771,0.59359771,0.00151771,0.59359729,0.00151822,0.00000042,0.00000144
5000,80,12,10,1000,1,0.5,0.09669104,0.00059555,0.09669104,0.00059555,0.09669063,0.00059558,0.00000042,0.00000097
5000,80,12,10,1000,1,0.8,0.00827187,0.00009351,0.00827187,0.00009351,0.00827187,0.00009351,0.00000000,0.00000000
5000,80,12,10,1000,1.5,0.2,0.59469458,0.00164097,0.59469458,0.00164097,0.59469333,0.00164234,0.00000125,0.00000199
5000,80,12,10,1000,1.5,0.5,0.12055729,0.00081442,0.12055729,0.00081442,0.12055687,0.00081397,0.00000042,0.00000097
5000,80,12,10,1000,1.5,0.8,0.01636521,0.00016448,0.01636521,0.00016448,0.01636500,0.00016422,0.00000021,0.00000072
5000,80,12,10,1000,2,0.2,0.59656125,0.00160844,0.59656125,0.00160844,0.59656042,0.00160759,0.00000083,0.00000123
5000,80,12,10,1000,2,0.5,0.13812792,0.00078210,0.13812792,0.00078210,0.13812729,0.00078203,0.00000063,0.00000113
5000,80,12,10,1000,2,0.8,0.02313479,0.00030806,0.02313479,0.00030806,0.02313458,0.00030844,0.00000021,0.00000072
5000,80,12,10,1000,3,0.2,0.59734125,0.00193527,0.59734125,0.00193527,0.59733812,0.00193563,0.00000313,0.00000241
5000,80,12,10,1000,3,0.5,0.15943854,0.00066225,0.15943854,0.00066225,0.15943833,0.00066212,0.00000021,0.00000072
5000,80,12,10,1000,3,0.8,0.03275333,0.00023819,0.03275333,0.00023819,0.03275292,0.00023833,0.00000042,0.00000097
5000,80,12,10,1000,5,0.2,0.60077625,0.00120506,0.60077625,0.00120506,0.60077063,0.00120607,0.00000563,0.00000339
5000,80,12,10,1000,5,0.5,0.18285063,0.00090945,0.18285062,0.00090945,0.18284771,0.00090980,0.00000292,0.00000367
5000,80,12,10,1000,5,0.8,0.04348104,0.00038728,0.04348104,0.00038728,0.04348042,0.00038723,0.00000063,0.00000113
5000,80,12,10,1000,7,0.2,0.60330979,0.00117172,0.60330979,0.00117172,0.60329917,0.00117114,0.00001063,0.00000623
5000,80,12,10,1000,7,0.5,0.19530146,0.00079342,0.19530146,0.00079342,0.19530042,0.00079273,0.00000104,0.00000167
5000,80,12,10,1000,7,0.8,0.04887271,0.00037555,0.04887271,0.00037555,0.04887083,0.00037462,0.00000188,0.00000217
5000,80,12,10,1000,10,0.2,0.60373813,0.00162519,0.60373813,0.00162519,0.60371125,0.00162812,0.00002688,0.00000880
5000,80,12,10,1000,10,0.5,0.20570687,0.00073152,0.20570687,0.00073152,0.20569854,0.00073319,0.00000833,0.00000469
5000,80,12,10,1000,10,0.8,0.05394292,0.00042382,0.05394292,0.00042382,0.05390896,0.00042894,0.00003396,0.00001290
