m,d1,d2,policy,time,total_perish_over_mT_mean,total_perish_over_mT_std
10000,10,10,greedy,0.00,0.00000000,0.00000000
10000,10,10,greedy,0.25,0.00036700,0.00002018
10000,10,10,greedy,0.50,0.00105820,0.00005774
10000,10,10,greedy,0.75,0.00191380,0.00007556
10000,10,10,greedy,1.00,0.00278920,0.00007298
10000,10,10,greedy,1.25,0.00369400,0.00007116
10000,10,10,greedy,1.50,0.00463860,0.00006149
10000,10,10,greedy,1.75,0.00559540,0.00007834
10000,10,10,greedy,2.00,0.00658140,0.00010318
10000,10,10,greedy,2.25,0.00756000,0.00012205
10000,10,10,greedy,2.50,0.00854480,0.00017094
10000,10,10,greedy,2.75,0.00950940,0.00016574
10000,10,10,greedy,3.00,0.01050060,0.00017697
10000,10,10,greedy,3.25,0.01149520,0.00018150
10000,10,10,greedy,3.50,0.01247020,0.00018230
10000,10,10,greedy,3.75,0.01345260,0.00019633
10000,10,10,greedy,4.00,0.01444060,0.00021519
10000,10,10,greedy,4.25,0.01542700,0.00025312
10000,10,10,greedy,4.50,0.01642200,0.00025724
10000,10,10,greedy,4.75,0.01740920,0.00024860
10000,10,10,greedy,5.00,0.01839380,0.00022925
10000,10,10,greedy,5.25,0.01939340,0.00021509
10000,10,10,greedy,5.50,0.02040580,0.00023360
10000,10,10,greedy,5.75,0.02141540,0.00023740
10000,10,10,greedy,6.00,0.02242260,0.00024675
10000,10,10,greedy,6.25,0.02338100,0.00025723
10000,10,10,greedy,6.50,0.02434320,0.00027058
10000,10,10,greedy,6.75,0.02532740,0.00028914
10000,10,10,greedy,7.00,0.02631700,0.00029284
10000,10,10,greedy,7.25,0.02730100,0.00031336
10000,10,10,greedy,7.50,0.02830780,0.00032774
10000,10,10,greedy,7.75,0.02929900,0.00032663
10000,10,10,greedy,8.00,0.03029640,0.00033162
10000,10,10,greedy,8.25,0.03128280,0.00033379
10000,10,10,greedy,8.50,0.03229520,0.00034386
10000,10,10,greedy,8.75,0.03329140,0.00036373
10000,10,10,greedy,9.00,0.03427120,0.00036472
10000,10,10,greedy,9.25,0.03525720,0.00036737
10000,10,10,greedy,9.50,0.03623860,0.00036455
10000,10,10,greedy,9.75,0.03719540,0.00038665
10000,10,10,greedy,10.00,0.03817260,0.00038065
10000,10,10,greedy,10.25,0.03916020,0.00037297
10000,10,10,greedy,10.50,0.04016020,0.00038190
10000,10,10,greedy,10.75,0.04112120,0.00036578
10000,10,10,greedy,11.00,0.04209740,0.00040248
10000,10,10,greedy,11.25,0.04311160,0.00040417
10000,10,10,greedy,11.50,0.04409740,0.00041045
10000,10,10,greedy,11.75,0.04510060,0.00045026
10000,10,10,greedy,12.00,0.04608680,0.00043392
10000,10,10,greedy,12.25,0.04705700,0.00045640
10000,10,10,greedy,12.50,0.04804420,0.00046768
10000,10,10,greedy,12.75,0.04903000,0.00046574
10000,10,10,greedy,13.00,0.05001800,0.00046001
10000,10,10,greedy,13.25,0.05098220,0.00048513
10000,10,10,greedy,13.50,0.05196440,0.00047955
10000,10,10,greedy,13.75,0.05296600,0.00047432
10000,10,10,greedy,14.00,0.05395840,0.00047532
10000,10,10,greedy,14.25,0.05494820,0.00047087
10000,10,10,greedy,14.50,0.05593380,0.00045696
10000,10,10,greedy,14.75,0.05692360,0.00046468
10000,10,10,greedy,15.00,0.05791680,0.00044177
10000,10,10,greedy,15.25,0.05888980,0.00044922
10000,10,10,greedy,15.50,0.05986300,0.00046660
10000,10,10,greedy,15.75,0.06085780,0.00047288
10000,10,10,greedy,16.00,0.06184340,0.00047761
10000,10,10,greedy,16.25,0.06282520,0.00046116
10000,10,10,greedy,16.50,0.06382300,0.00042811
10000,10,10,greedy,16.75,0.06480480,0.00040420
10000,10,10,greedy,17.00,0.06581420,0.00041949
10000,10,10,greedy,17.25,0.06681880,0.00042817
10000,10,10,greedy,17.50,0.06781120,0.00041717
10000,10,10,greedy,17.75,0.06879420,0.00043781
10000,10,10,greedy,18.00,0.06978660,0.00047832
10000,10,10,greedy,18.25,0.07076040,0.00047139
10000,10,10,greedy,18.50,0.07176340,0.00048874
10000,10,10,greedy,18.75,0.07277020,0.00051843
10000,10,10,greedy,19.00,0.07375420,0.00050253
10000,10,10,greedy,19.25,0.07474400,0.00048205
10000,10,10,greedy,19.50,0.07572080,0.00047115
10000,10,10,greedy,19.75,0.07670020,0.00045470
10000,10,10,greedy,20.00,0.07767360,0.00045156
10000,10,10,greedy,20.25,0.07865040,0.00045174
10000,10,10,greedy,20.50,0.07961020,0.00044029
10000,10,10,greedy,20.75,0.08059580,0.00048309
10000,10,10,greedy,21.00,0.08159200,0.00047190
10000,10,10,greedy,21.25,0.08257480,0.00044833
10000,10,10,greedy,21.50,0.08355740,0.00045297
10000,10,10,greedy,21.75,0.08453920,0.00046473
10000,10,10,greedy,22.00,0.08554400,0.00047245
10000,10,10,greedy,22.25,0.08654220,0.00047023
10000,10,10,greedy,22.50,0.08754140,0.00047638
10000,10,10,greedy,22.75,0.08854420,0.00051909
10000,10,10,greedy,23.00,0.08951320,0.00051948
10000,10,10,greedy,23.25,0.09047080,0.00052700
10000,10,10,greedy,23.50,0.09146740,0.00053541
10000,10,10,greedy,23.75,0.09245780,0.00052076
10000,10,10,greedy,24.00,0.09344060,0.00051539
10000,10,10,greedy,24.25,0.09441320,0.00052007
10000,10,10,greedy,24.50,0.09541280,0.00051304
10000,10,10,greedy,24.75,0.09642220,0.00051348
10000,10,10,greedy,25.00,0.09738940,0.00054847
10000,10,10,greedy,25.25,0.09839420,0.00055143
10000,10,10,greedy,25.50,0.09940560,0.00057053
10000,10,10,greedy,25.75,0.10038880,0.00057960
10000,10,10,greedy,26.00,0.10136880,0.00057619
10000,10,10,greedy,26.25,0.10234480,0.00059387
10000,10,10,greedy,26.50,0.10332980,0.00060399
10000,10,10,greedy,26.75,0.10431380,0.00063021
10000,10,10,greedy,27.00,0.10527000,0.00065681
10000,10,10,greedy,27.25,0.10626440,0.00068376
10000,10,10,greedy,27.50,0.10727700,0.00069000
