m,d1,d2,policy,time,H_perish_over_mT_mean,H_perish_over_mT_std,E_perish_over_mT_mean,E_perish_over_mT_std
10000,10,10,greedy,0.00,0.00000000,0.00000000,0.00000000,0.00000000
10000,10,10,greedy,0.25,0.00021520,0.00001293,0.00015180,0.00001642
10000,10,10,greedy,0.50,0.00066340,0.00004146,0.00039480,0.00002908
10000,10,10,greedy,0.75,0.00127640,0.00005996,0.00063740,0.00003002
10000,10,10,greedy,1.00,0.00193800,0.00005205,0.00085120,0.00004227
10000,10,10,greedy,1.25,0.00263200,0.00005419,0.00106200,0.00004498
10000,10,10,greedy,1.50,0.00336900,0.00004169,0.00126960,0.00004326
10000,10,10,greedy,1.75,0.00412640,0.00006268,0.00146900,0.00004782
10000,10,10,greedy,2.00,0.00490400,0.00009217,0.00167740,0.00004831
10000,10,10,greedy,2.25,0.00568800,0.00011164,0.00187200,0.00005162
10000,10,10,greedy,2.50,0.00647600,0.00016213,0.00206880,0.00006701
10000,10,10,greedy,2.75,0.00724740,0.00015736,0.00226200,0.00006757
10000,10,10,greedy,3.00,0.00803920,0.00018722,0.00246140,0.00007017
10000,10,10,greedy,3.25,0.00883200,0.00019648,0.00266320,0.00008071
10000,10,10,greedy,3.50,0.00962520,0.00020613,0.00284500,0.00007642
10000,10,10,greedy,3.75,0.01041500,0.00023165,0.00303760,0.00009268
10000,10,10,greedy,4.00,0.01121040,0.00025238,0.00323020,0.00009430
10000,10,10,greedy,4.25,0.01200180,0.00028645,0.00342520,0.00010326
10000,10,10,greedy,4.50,0.01281400,0.00028700,0.00360800,0.00010306
10000,10,10,greedy,4.75,0.01361440,0.00027960,0.00379480,0.00011686
10000,10,10,greedy,5.00,0.01440940,0.00027040,0.00398440,0.00012292
10000,10,10,greedy,5.25,0.01521540,0.00025764,0.00417800,0.00013412
10000,10,10,greedy,5.50,0.01603620,0.00026620,0.00436960,0.00013296
10000,10,10,greedy,5.75,0.01685280,0.00027020,0.00456260,0.00013366
10000,10,10,greedy,6.00,0.01766440,0.00028622,0.00475820,0.00012131
10000,10,10,greedy,6.25,0.01843340,0.00029354,0.00494760,0.00012147
10000,10,10,greedy,6.50,0.01919280,0.00029779,0.00515040,0.00013268
10000,10,10,greedy,6.75,0.01998660,0.00028807,0.00534080,0.00014038
10000,10,10,greedy,7.00,0.02076900,0.00030469,0.00554800,0.00014533
10000,10,10,greedy,7.25,0.02155920,0.00030984,0.00574180,0.00014700
10000,10,10,greedy,7.50,0.02238260,0.00031352,0.00592520,0.00014031
10000,10,10,greedy,7.75,0.02318380,0.00029621,0.00611520,0.00014690
10000,10,10,greedy,8.00,0.02398480,0.00029670,0.00631160,0.00016033
10000,10,10,greedy,8.25,0.02478020,0.00029817,0.00650260,0.00016382
10000,10,10,greedy,8.50,0.02559860,0.00031006,0.00669660,0.00016254
10000,10,10,greedy,8.75,0.02639220,0.00033327,0.00689920,0.00017457
10000,10,10,greedy,9.00,0.02718120,0.00033567,0.00709000,0.00017545
10000,10,10,greedy,9.25,0.02797460,0.00032816,0.00728260,0.00017176
10000,10,10,greedy,9.50,0.02875700,0.00032759,0.00748160,0.00017232
10000,10,10,greedy,9.75,0.02952980,0.00034603,0.00766560,0.00017740
10000,10,10,greedy,10.00,0.03031300,0.00033936,0.00785960,0.00017447
10000,10,10,greedy,10.25,0.03110400,0.00033623,0.00805620,0.00018336
10000,10,10,greedy,10.50,0.03191420,0.00035455,0.00824600,0.00018338
10000,10,10,greedy,10.75,0.03268940,0.00034949,0.00843180,0.00019127
10000,10,10,greedy,11.00,0.03347900,0.00037038,0.00861840,0.00018907
10000,10,10,greedy,11.25,0.03429300,0.00036275,0.00881860,0.00019612
10000,10,10,greedy,11.50,0.03508780,0.00038514,0.00900960,0.00020604
10000,10,10,greedy,11.75,0.03589460,0.00041550,0.00920600,0.00021423
10000,10,10,greedy,12.00,0.03668980,0.00041716,0.00939700,0.00020746
10000,10,10,greedy,12.25,0.03746480,0.00043758,0.00959220,0.00021158
